‘ Then a shot of glucose should do the trick.	0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN	▁ ‘ ▁Then ▁a ▁shot ▁of ▁glucose ▁should ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 1 0 1 1	PUNCT PUNCT ADV DET NOUN ADP NOUN VERB VERB DET NOUN NOUN
He had a shaving kit like that, and he had his old, the old after shave lotion and that, and he will, well, picked us, we just fucking said I, I know what will do the trick a bit of fucking gone	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	do the trick	figurative	identical	PRON VERB DET NOUN NOUN ADP DET CCONJ PRON VERB ADJ ADJ DET ADJ ADP ADJ NOUN CCONJ DET CCONJ PRON VERB INTJ VERB PRON PRON ADV INTJ VERB PRON PRON VERB NOUN VERB VERB DET VERB DET NOUN ADP VERB VERB	▁He ▁had ▁a ▁s having ▁kit ▁like ▁that , ▁and ▁he ▁had ▁his ▁old , ▁the ▁old ▁after ▁s have ▁lot ion ▁and ▁that , ▁and ▁he ▁will , ▁well , ▁picked ▁us , ▁we ▁just ▁f uck ing ▁said ▁I , ▁I ▁know ▁what ▁will ▁do ▁the ▁trick ▁a ▁bit ▁of ▁f uck ing ▁gone	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PRON VERB DET NOUN NOUN NOUN ADP DET DET CCONJ PRON VERB ADJ ADJ ADJ DET ADJ ADP ADJ ADJ NOUN NOUN CCONJ DET DET CCONJ PRON VERB VERB INTJ INTJ VERB PRON PRON PRON ADV INTJ INTJ INTJ VERB PRON PRON PRON VERB NOUN VERB VERB DET VERB DET NOUN ADP VERB VERB VERB VERB
That, that letter I 'd written must of done the trick.	0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADP DET NOUN PRON VERB VERB VERB VERB VERB DET NOUN	▁That , ▁that ▁letter ▁I ▁' d ▁written ▁must ▁of ▁done ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADP DET NOUN PRON VERB VERB VERB VERB VERB VERB DET NOUN NOUN
As Bon Jovi jetted out, the faithful made their way home, unanimous that a dose of Bad Medicine had done the trick for them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	do the trick	figurative	inflection	ADP PROPN PROPN VERB PART DET NOUN VERB ADJ NOUN ADV ADJ ADP DET NOUN ADP PROPN PROPN VERB VERB DET NOUN ADP PRON	▁As ▁Bon ▁Jo vi ▁jet ted ▁out , ▁the ▁faithful ▁made ▁their ▁way ▁home , ▁unanimous ▁that ▁a ▁dose ▁of ▁Bad ▁Medicine ▁had ▁done ▁the ▁trick ▁for ▁them .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADP PROPN PROPN PROPN VERB VERB PART PART DET NOUN VERB ADJ NOUN ADV ADV ADJ ADP DET NOUN ADP PROPN PROPN VERB VERB DET NOUN ADP PRON PRON
Now you rea fo w with a story like this you really need a erm a, a decent does of antibiotics and given the of the unpleasant taste and the pus you can see, ordinary penicillin probably won't do the trick, so we need to use something with a bit more oomph	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	ADV PRON VERB ADP X ADP DET NOUN ADP DET PRON ADV VERB DET NOUN DET DET ADJ VERB ADP NOUN CCONJ VERB DET ADP DET ADJ NOUN CCONJ DET NOUN PRON VERB VERB ADJ NOUN ADV VERB VERB DET NOUN ADP PRON VERB PART VERB NOUN ADP DET NOUN ADV NOUN	▁Now ▁you ▁re a ▁fo ▁w ▁with ▁a ▁story ▁like ▁this ▁you ▁really ▁need ▁a ▁er m ▁a , ▁a ▁decent ▁does ▁of ▁antibiotics ▁and ▁given ▁the ▁of ▁the ▁unpleasant ▁taste ▁and ▁the ▁p us ▁you ▁can ▁see , ▁ordinary ▁penicillin ▁probably ▁won ' t ▁do ▁the ▁trick , ▁so ▁we ▁need ▁to ▁use ▁something ▁with ▁a ▁bit ▁more ▁o om ph	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV PRON VERB VERB ADP X ADP DET NOUN ADP DET PRON ADV VERB DET NOUN NOUN DET DET DET ADJ VERB ADP NOUN CCONJ VERB DET ADP DET ADJ NOUN CCONJ DET NOUN NOUN PRON VERB VERB VERB ADJ NOUN ADV VERB VERB VERB VERB DET NOUN NOUN ADP PRON VERB PART VERB NOUN ADP DET NOUN ADV NOUN NOUN NOUN
When the Assembly felt itself pulled in too many directions at once, an ostracism did the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	inflection	ADV DET PROPN VERB PRON VERB PART ADV ADJ NOUN ADP ADV DET NOUN VERB DET NOUN	▁When ▁the ▁Assembly ▁felt ▁itself ▁pulled ▁in ▁too ▁many ▁directions ▁at ▁once , ▁an ▁o stra c ism ▁did ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV DET PROPN VERB PRON VERB PART ADV ADJ NOUN ADP ADV ADV DET NOUN NOUN NOUN NOUN VERB DET NOUN NOUN
And that 'll hopefully do the trick.	0 0 0 0 1 0 1	do the trick	figurative	identical	CCONJ DET VERB ADV VERB DET NOUN	▁And ▁that ▁' ll ▁hopeful ly ▁do ▁the ▁trick .	0 0 0 0 0 0 1 0 1 1	CCONJ DET VERB VERB ADV ADV VERB DET NOUN NOUN
This time the vet cut a V out of Biggles's crippled leg bone and thought that might do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET NOUN DET NOUN VERB DET NOUN ADP ADP NOUN ADJ NOUN NOUN CCONJ VERB ADJ VERB VERB DET NOUN	▁This ▁time ▁the ▁vet ▁cut ▁a ▁V ▁out ▁of ▁Big gle s ' s ▁cri ppl ed ▁leg ▁bone ▁and ▁thought ▁that ▁might ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN DET NOUN VERB DET NOUN ADP ADP NOUN NOUN NOUN NOUN NOUN ADJ ADJ ADJ NOUN NOUN CCONJ VERB ADJ VERB VERB DET NOUN NOUN
In Canada the British not only deluded themselves that they had defeated the axiom ; they also imagined it was the federal ingredient that had enabled them to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP PROPN DET PROPN ADV ADV VERB PRON ADP PRON VERB VERB DET NOUN PUNCT PRON ADV VERB PRON VERB DET ADJ NOUN ADJ VERB VERB PRON PART VERB DET NOUN	▁In ▁Canada ▁the ▁British ▁not ▁only ▁del uded ▁themselves ▁that ▁they ▁had ▁defeat ed ▁the ▁a xi om ▁ ; ▁they ▁also ▁imagine d ▁it ▁was ▁the ▁federal ▁ingredient ▁that ▁had ▁enabled ▁them ▁to ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP PROPN DET PROPN ADV ADV VERB VERB PRON ADP PRON VERB VERB VERB DET NOUN NOUN NOUN PUNCT PUNCT PRON ADV VERB VERB PRON VERB DET ADJ NOUN ADJ VERB VERB PRON PART VERB DET NOUN NOUN
A period of stress, a new job, moving house or a family row are all trusty pretexts for returning to the tobacconist's ; even minor crises, such as missing a bus, can do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	DET NOUN ADP NOUN DET ADJ NOUN VERB NOUN CCONJ DET NOUN NOUN VERB DET NOUN NOUN ADP VERB ADP DET NOUN PUNCT ADV ADJ NOUN ADJ ADP VERB DET NOUN VERB VERB DET NOUN	▁A ▁period ▁of ▁stress , ▁a ▁new ▁job , ▁moving ▁house ▁or ▁a ▁family ▁row ▁are ▁all ▁trust y ▁pretext s ▁for ▁returning ▁to ▁the ▁tobacco n ist ' s ▁ ; ▁even ▁minor ▁crises , ▁such ▁as ▁missing ▁a ▁bus , ▁can ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN ADP NOUN NOUN DET ADJ NOUN NOUN VERB NOUN CCONJ DET NOUN NOUN VERB DET NOUN NOUN NOUN NOUN ADP VERB ADP DET NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT ADV ADJ NOUN NOUN ADJ ADP VERB DET NOUN NOUN VERB VERB DET NOUN NOUN
It did the trick.	0 1 0 1	do the trick	figurative	inflection	PRON VERB DET NOUN	▁It ▁did ▁the ▁trick .	0 1 0 1 1	PRON VERB DET NOUN NOUN
Nicandra smiled and acknowledged the obeisance as if it was from a dog doing its trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	literal	combined-inflection	PROPN VERB CCONJ VERB DET NOUN ADP ADP PRON VERB ADP DET NOUN VERB ADJ NOUN	▁N ic and ra ▁smile d ▁and ▁acknowledged ▁the ▁ob e is ance ▁as ▁if ▁it ▁was ▁from ▁a ▁dog ▁doing ▁its ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PROPN PROPN PROPN VERB VERB CCONJ VERB DET NOUN NOUN NOUN NOUN ADP ADP PRON VERB ADP DET NOUN VERB ADJ NOUN NOUN
Did her trick to catch the saint who avoided becoming a martyr.	1 0 1 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	VERB ADJ NOUN PART VERB DET NOUN NOUN VERB VERB DET NOUN	▁Did ▁her ▁trick ▁to ▁catch ▁the ▁sa int ▁who ▁avoided ▁becoming ▁a ▁mar t yr .	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN VERB VERB DET NOUN NOUN NOUN NOUN
While you are doing this trick it's a good idea to invent a little patter.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	do the trick	literal	combined-inflection	ADP PRON VERB VERB DET NOUN PRON DET ADJ NOUN PART VERB DET ADJ NOUN	▁While ▁you ▁are ▁doing ▁this ▁trick ▁it ' s ▁a ▁good ▁idea ▁to ▁in vent ▁a ▁little ▁p atter .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB DET NOUN PRON PRON PRON DET ADJ NOUN PART VERB VERB DET ADJ NOUN NOUN NOUN
The 13-goal marksman's chances of being fit have improved since he started the treatment and his manager Ron Atkinson said : ‘ If he does make it and this machine has done the trick I 'll gladly pay out Pounds 25,000 myself to buy one.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	inflection	DET NUM NOUN NOUN ADP VERB ADJ VERB VERB ADP PRON VERB DET NOUN CCONJ ADJ NOUN PROPN PROPN VERB PUNCT PUNCT ADP PRON VERB VERB PRON CCONJ DET NOUN VERB VERB DET NOUN PRON VERB ADV VERB PART SYM NUM PRON PART VERB NOUN	▁The ▁13 - go al ▁marks man ' s ▁chances ▁of ▁being ▁fit ▁have ▁improved ▁since ▁he ▁started ▁the ▁treatment ▁and ▁his ▁manager ▁R on ▁At kin son ▁said ▁ : ▁ ‘ ▁If ▁he ▁does ▁make ▁it ▁and ▁this ▁machine ▁has ▁done ▁the ▁trick ▁I ▁' ll ▁glad ly ▁pay ▁out ▁P ound s ▁2 5,000 ▁myself ▁to ▁buy ▁one . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NUM NUM NUM NUM NOUN NOUN NOUN NOUN NOUN ADP VERB ADJ VERB VERB ADP PRON VERB DET NOUN CCONJ ADJ NOUN PROPN PROPN PROPN PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT ADP PRON VERB VERB PRON CCONJ DET NOUN VERB VERB DET NOUN PRON VERB VERB ADV ADV VERB PART SYM SYM SYM NUM NUM PRON PART VERB NOUN NOUN NOUN
A camera can do the trick, letting you catch your breath before your lungs explode through your chest like The Alien, as you pretend to take a photo of an interesting stone.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the trick	figurative	identical	DET NOUN VERB VERB DET NOUN VERB PRON VERB ADJ NOUN ADP ADJ NOUN VERB ADP ADJ NOUN ADP DET PROPN ADP PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN	▁A ▁camera ▁can ▁do ▁the ▁trick , ▁letting ▁you ▁catch ▁your ▁breath ▁before ▁your ▁lungs ▁explo de ▁through ▁your ▁chest ▁like ▁The ▁Ali en , ▁as ▁you ▁pretend ▁to ▁take ▁a ▁photo ▁of ▁an ▁interesting ▁stone .	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB DET NOUN NOUN VERB PRON VERB ADJ NOUN ADP ADJ NOUN VERB VERB ADP ADJ NOUN ADP DET PROPN PROPN PROPN ADP PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN NOUN
At the time of the December 1971 Smithsonian Agreement, 308 yen to the dollar was supposed to do the trick.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the trick	figurative	identical	ADP DET NOUN ADP DET PROPN NUM PROPN PROPN NUM NOUN ADP DET NOUN VERB VERB PART VERB DET NOUN	▁At ▁the ▁time ▁of ▁the ▁December ▁1971 ▁Smith son ian ▁Agreement , ▁308 ▁yen ▁to ▁the ▁dollar ▁was ▁supposed ▁to ▁do ▁the ▁trick .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN ADP DET PROPN NUM PROPN PROPN PROPN PROPN PROPN NUM NOUN ADP DET NOUN VERB VERB PART VERB DET NOUN NOUN
