Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN	▁C ig g ie ▁lands ▁ gran ▁in ▁dock	0 0 0 0 0 0 0 1 1	PROPN PROPN PROPN PROPN VERB NOUN NOUN ADP NOUN
Four months after he was cleared on appeal, David Reed tells Liz Fisher what it was like to be in the dock	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	NUM NOUN ADP PRON VERB VERB ADP NOUN PROPN PROPN VERB PROPN PROPN NOUN PRON VERB ADJ PART VERB ADP DET NOUN	▁Four ▁months ▁after ▁he ▁was ▁cleared ▁on ▁appeal , ▁David ▁Re ed ▁tells ▁L iz ▁Fish er ▁what ▁it ▁was ▁like ▁to ▁be ▁in ▁the ▁dock	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	NUM NOUN ADP PRON VERB VERB ADP NOUN NOUN PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN NOUN PRON VERB ADJ PART VERB ADP DET NOUN
Then she remembered the racket they ran here, in the spaceship docks of Plenty.	0 0 0 0 0 0 0 0 1 0 0 1 0 0	in the dock	literal	combined-inflection	ADV PRON VERB DET NOUN PRON VERB ADV ADP DET NOUN NOUN ADP PROPN	▁Then ▁she ▁remembered ▁the ▁ rack et ▁they ▁ran ▁here , ▁in ▁the ▁space ship ▁dock s ▁of ▁P lent y .	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0	ADV PRON VERB DET NOUN NOUN NOUN PRON VERB ADV ADV ADP DET NOUN NOUN NOUN NOUN ADP PROPN PROPN PROPN PROPN
I mean seven years continual dredging for seven years apart from a month they in dock and you were taking out eight hundred tonne every hopper load and some days you were doing five loads and sometimes four loads, was a lot of mud we dumped so much mud out at erm near the Cork Lightship, now you would think they would level theirself off wouldn't you and if they didn't that up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	PRON VERB NUM NOUN ADJ VERB ADP NUM NOUN ADV ADP DET NOUN PRON ADP NOUN CCONJ PRON VERB VERB PART NUM NUM NOUN DET NOUN NOUN CCONJ DET NOUN PRON VERB VERB NUM NOUN CCONJ ADV NUM NOUN VERB DET NOUN ADP NOUN PRON VERB ADV ADJ NOUN PART ADP NOUN ADP DET PROPN PROPN ADV PRON VERB VERB PRON VERB VERB NOUN PART VERB PRON CCONJ ADP PRON VERB DET PART	▁I ▁mean ▁seven ▁years ▁continual ▁d re dging ▁for ▁seven ▁years ▁apart ▁from ▁a ▁month ▁they ▁in ▁dock ▁and ▁you ▁were ▁taking ▁out ▁eight ▁hundred ▁tonne ▁every ▁h opper ▁load ▁and ▁some ▁days ▁you ▁were ▁doing ▁five ▁loads ▁and ▁sometimes ▁four ▁loads , ▁was ▁a ▁lot ▁of ▁mud ▁we ▁dumped ▁so ▁much ▁mud ▁out ▁at ▁er m ▁near ▁the ▁Cork ▁Light ship , ▁now ▁you ▁would ▁think ▁they ▁would ▁level ▁their self ▁off ▁would n ' t ▁you ▁and ▁if ▁they ▁did n ' t ▁that ▁up .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB NUM NOUN ADJ VERB VERB VERB ADP NUM NOUN ADV ADP DET NOUN PRON ADP NOUN CCONJ PRON VERB VERB PART NUM NUM NOUN DET NOUN NOUN NOUN CCONJ DET NOUN PRON VERB VERB NUM NOUN CCONJ ADV NUM NOUN NOUN VERB DET NOUN ADP NOUN PRON VERB ADV ADJ NOUN PART ADP NOUN NOUN ADP DET PROPN PROPN PROPN PROPN ADV PRON VERB VERB PRON VERB VERB NOUN NOUN PART VERB VERB VERB VERB PRON CCONJ ADP PRON VERB VERB VERB VERB DET PART PART
The first is hard to explain because, although Kelly may be right in asserting that the clash was one of a kind seen every week, it was still bad enough for his own organisation to have upheld a ban on the man in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	DET ADJ VERB ADJ PART VERB ADP ADP PROPN VERB VERB ADJ ADP VERB ADP DET NOUN VERB NUM ADP DET NOUN VERB DET NOUN PRON VERB ADV ADJ ADV ADP ADJ ADJ NOUN PART VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN	▁The ▁first ▁is ▁hard ▁to ▁explain ▁because , ▁although ▁Kel ly ▁may ▁be ▁right ▁in ▁assert ing ▁that ▁the ▁clash ▁was ▁one ▁of ▁a ▁kind ▁seen ▁every ▁week , ▁it ▁was ▁still ▁bad ▁enough ▁for ▁his ▁own ▁organisation ▁to ▁have ▁upheld ▁a ▁ban ▁on ▁the ▁man ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET ADJ VERB ADJ PART VERB ADP ADP ADP PROPN PROPN VERB VERB ADJ ADP VERB VERB ADP DET NOUN VERB NUM ADP DET NOUN VERB DET NOUN NOUN PRON VERB ADV ADJ ADV ADP ADJ ADJ NOUN PART VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN
Peter and Nona were not the only people planning to eat in the open air, because a coachload of school - children together with four teachers, all carrying packed lunches, had arrived to visit the Cutty Sark and then Gypsy Moth in its dry dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the dock	literal	combined-other	PROPN CCONJ PROPN VERB ADV DET ADJ NOUN VERB PART VERB ADP DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT NOUN ADV ADP NUM NOUN DET VERB VERB NOUN VERB VERB PART VERB DET PROPN PROPN CCONJ ADV PROPN PROPN ADP ADJ ADJ NOUN	▁Peter ▁and ▁No na ▁were ▁not ▁the ▁only ▁people ▁planning ▁to ▁eat ▁in ▁the ▁open ▁air , ▁because ▁a ▁coach load ▁of ▁school ▁- ▁children ▁together ▁with ▁four ▁teachers , ▁all ▁carrying ▁packed ▁lunch es , ▁had ▁arrived ▁to ▁visit ▁the ▁Cut ty ▁S ark ▁and ▁then ▁Gyps y ▁Mo th ▁in ▁its ▁dry ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PROPN CCONJ PROPN PROPN VERB ADV DET ADJ NOUN VERB PART VERB ADP DET ADJ NOUN NOUN ADP DET NOUN NOUN ADP NOUN PUNCT NOUN ADV ADP NUM NOUN NOUN DET VERB VERB NOUN NOUN NOUN VERB VERB PART VERB DET PROPN PROPN PROPN PROPN CCONJ ADV PROPN PROPN PROPN PROPN ADP ADJ ADJ NOUN NOUN
In the dock at Liverpool Crown Court is James Walker, formerly of Edinburgh Towers, Everton, who denies conspiring to commit robberies in April and May last year.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	case	ADP DET NOUN ADP PROPN PROPN PROPN VERB PROPN PROPN ADV ADP PROPN PROPN PROPN NOUN VERB VERB PART VERB NOUN ADP PROPN CCONJ PROPN ADJ NOUN	▁In ▁the ▁dock ▁at ▁Liverpool ▁Crown ▁Court ▁is ▁James ▁W al ker , ▁formerly ▁of ▁Edinburgh ▁Tower s , ▁E vert on , ▁who ▁den ies ▁con spiring ▁to ▁commit ▁ro bb eries ▁in ▁April ▁and ▁May ▁last ▁year .	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADP PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN PROPN ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB VERB VERB PART VERB NOUN NOUN NOUN ADP PROPN CCONJ PROPN ADJ NOUN NOUN
After crossing the dock channel by way of the lock gates catwalk, they paused for a while watching and listening to the bedlam of noise from the riveting guns as the shipyard men worked on a small coastal tanker in the dry dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the dock	literal	insertion-other	ADP VERB DET NOUN NOUN ADP NOUN ADP DET NOUN NOUN VERB PRON VERB ADP DET NOUN VERB CCONJ VERB ADP DET NOUN ADP NOUN ADP DET VERB NOUN ADP DET NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN	▁After ▁crossing ▁the ▁dock ▁channel ▁by ▁way ▁of ▁the ▁lock ▁gates ▁cat wal k , ▁they ▁pause d ▁for ▁a ▁while ▁watching ▁and ▁listening ▁to ▁the ▁be d lam ▁of ▁noise ▁from ▁the ▁rivet ing ▁guns ▁as ▁the ▁shipyard ▁men ▁worked ▁on ▁a ▁small ▁coastal ▁tanker ▁in ▁the ▁dry ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	ADP VERB DET NOUN NOUN ADP NOUN ADP DET NOUN NOUN VERB VERB VERB VERB PRON VERB VERB ADP DET NOUN VERB CCONJ VERB ADP DET NOUN NOUN NOUN ADP NOUN ADP DET VERB VERB NOUN ADP DET NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN NOUN
If such a proposal was adopted by the GMC Kay and his committee might find themselves in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	ADP ADJ DET NOUN VERB VERB ADP DET PROPN PROPN CCONJ ADJ NOUN VERB VERB PRON ADP DET NOUN	▁If ▁such ▁a ▁proposal ▁was ▁adopted ▁by ▁the ▁G MC ▁Ka y ▁and ▁his ▁committee ▁might ▁find ▁themselves ▁in ▁the ▁dock .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP ADJ DET NOUN VERB VERB ADP DET PROPN PROPN PROPN PROPN CCONJ ADJ NOUN VERB VERB PRON ADP DET NOUN NOUN
I 'm thinking of laying up Rochester in dry dock.	0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	PRON NOUN VERB ADP VERB PART PROPN ADP ADJ NOUN	▁I ▁' m ▁thinking ▁of ▁laying ▁up ▁Roche ster ▁in ▁dry ▁dock .	0 0 0 0 0 0 0 0 0 1 0 1 1	PRON NOUN NOUN VERB ADP VERB PART PROPN PROPN ADP ADJ NOUN NOUN
Nestling peacefully amongst the mine sweepers and patrol vessels in Albert Dock was the P&O Thames sailing barge, Will, dressed overall with flags and used for a variety of on board functions during her stay.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	VERB ADV ADP DET ADJ NOUN CCONJ NOUN NOUN ADP PROPN PROPN VERB DET PROPN PROPN NOUN NOUN VERB VERB ADV ADP NOUN CCONJ VERB ADP DET NOUN ADP ADP NOUN NOUN ADP ADJ NOUN	▁N est ling ▁peaceful ly ▁amongst ▁the ▁mine ▁sweep ers ▁and ▁patrol ▁vessels ▁in ▁Albert ▁Doc k ▁was ▁the ▁P & O ▁Tha mes ▁sailing ▁bar ge , ▁Will , ▁dressed ▁overall ▁with ▁flags ▁and ▁used ▁for ▁a ▁variety ▁of ▁on ▁board ▁functions ▁during ▁her ▁stay .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB ADV ADV ADP DET ADJ NOUN NOUN CCONJ NOUN NOUN ADP PROPN PROPN PROPN VERB DET PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN VERB VERB VERB ADV ADP NOUN CCONJ VERB ADP DET NOUN ADP ADP NOUN NOUN ADP ADJ NOUN NOUN
Wycliffe shared a table with a merchant captain whose ship was in dock, a quiet spoken man on the verge of retirement.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	PROPN VERB DET NOUN ADP DET NOUN NOUN ADJ NOUN VERB ADP NOUN DET ADJ ADJ NOUN ADP DET NOUN ADP NOUN	▁W y cl iff e ▁shared ▁a ▁table ▁with ▁a ▁merchant ▁captain ▁whose ▁ship ▁was ▁in ▁dock , ▁a ▁quiet ▁spoken ▁man ▁on ▁the ▁ver ge ▁of ▁retirement .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP DET NOUN NOUN ADJ NOUN VERB ADP NOUN NOUN DET ADJ ADJ NOUN ADP DET NOUN NOUN ADP NOUN NOUN
