‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV	▁ ‘ ▁You ▁mean , ▁you ▁knew ▁all ▁along , ▁but ▁you ▁let ▁me ▁make ▁a ▁fool ▁of ▁myself ? ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PRON VERB ADV ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV ADV ADV
But to the bulk of the party, Law s presence in government was a guarantee of the party's independence ; with Law in charge the party would extract from coalition whatever there was to be gained, but at no risk, and when stripped of all complications this was more or less what Bonar Law intended all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	CCONJ ADP DET NOUN ADP DET NOUN PROPN PART NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN PUNCT ADP PROPN ADP NOUN DET NOUN VERB VERB ADP NOUN ADJ ADV VERB PART VERB VERB CCONJ ADP DET NOUN CCONJ ADV VERB ADP DET NOUN DET VERB ADV CCONJ ADJ NOUN PROPN PROPN VERB DET ADV	▁But ▁to ▁the ▁bulk ▁of ▁the ▁party , ▁Law ▁s ▁presence ▁in ▁government ▁was ▁a ▁guarantee ▁of ▁the ▁party ' s ▁independence ▁ ; ▁with ▁Law ▁in ▁charge ▁the ▁party ▁would ▁extract ▁from ▁coal ition ▁whatever ▁there ▁was ▁to ▁be ▁gained , ▁but ▁at ▁no ▁risk , ▁and ▁when ▁stripped ▁of ▁all ▁complications ▁this ▁was ▁more ▁or ▁less ▁what ▁Bon ar ▁Law ▁intended ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	CCONJ ADP DET NOUN ADP DET NOUN NOUN PROPN PART NOUN ADP NOUN VERB DET NOUN ADP DET NOUN NOUN NOUN NOUN PUNCT PUNCT ADP PROPN ADP NOUN DET NOUN VERB VERB ADP NOUN NOUN ADJ ADV VERB PART VERB VERB VERB CCONJ ADP DET NOUN NOUN CCONJ ADV VERB ADP DET NOUN DET VERB ADV CCONJ ADJ NOUN PROPN PROPN PROPN VERB DET ADV ADV
She had known this all along, but she knew it with a different knowledge now.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB VERB DET DET ADV CCONJ PRON VERB PRON ADP DET ADJ NOUN ADV	▁She ▁had ▁known ▁this ▁all ▁along , ▁but ▁she ▁knew ▁it ▁with ▁a ▁different ▁knowledge ▁now .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET DET ADV ADV CCONJ PRON VERB PRON ADP DET ADJ NOUN ADV ADV
I know Jack was no good, knew it all along, but I didn't care.	0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	PRON VERB PROPN VERB DET ADJ VERB PRON DET ADV CCONJ PRON VERB VERB	▁I ▁know ▁Jack ▁was ▁no ▁good , ▁knew ▁it ▁all ▁along , ▁but ▁I ▁did n ' t ▁care .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB PROPN VERB DET ADJ ADJ VERB PRON DET ADV ADV CCONJ PRON VERB VERB VERB VERB VERB VERB
So did he know all along, then, that you are — were,—’ she corrected swiftly, ‘ Mark's sister?	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	ADV VERB PRON VERB ADV ADV ADV ADP PRON VERB PUNCT ADV PRON VERB ADV PUNCT PROPN NOUN	▁So ▁did ▁he ▁know ▁all ▁along , ▁then , ▁that ▁you ▁are ▁ — ▁were , —’ ▁she ▁corrected ▁swiftly , ▁ ‘ ▁Mark ' s ▁sister ?	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV VERB PRON VERB ADV ADV ADV ADV ADV ADP PRON VERB PUNCT PUNCT ADV ADV ADV PRON VERB ADV ADV PUNCT PUNCT PROPN PROPN PROPN NOUN NOUN
Under the relentless pressure all along the front, French commanders of every sector were desperately appealing for reserves ; which often were simply not there.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	ADP DET ADJ NOUN DET ADP DET ADJ ADJ NOUN ADP DET NOUN VERB ADV VERB ADP NOUN PUNCT ADJ ADV VERB ADV ADV ADV	▁Under ▁the ▁re lent less ▁pressure ▁all ▁along ▁the ▁front , ▁French ▁commander s ▁of ▁every ▁sector ▁were ▁desperately ▁appeal ing ▁for ▁reserves ▁ ; ▁which ▁often ▁were ▁simply ▁not ▁there .	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ ADJ ADJ NOUN DET ADP DET ADJ ADJ ADJ NOUN NOUN ADP DET NOUN VERB ADV VERB VERB ADP NOUN PUNCT PUNCT ADJ ADV VERB ADV ADV ADV ADV
Max says that's what he had in mind all along.’	0 0 0 0 0 0 0 0 1 1	all along	figurative	dashes	PROPN VERB DET NOUN PRON VERB ADP NOUN DET PUNCT	▁Max ▁says ▁that ' s ▁what ▁he ▁had ▁in ▁mind ▁all ▁along . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN VERB DET DET DET NOUN PRON VERB ADP NOUN DET PUNCT PUNCT PUNCT
She never seemed to completely shake the dumb blonde image, perhaps because her squeaky little girl voice operated to remind us all along that she was a Working Girl rather than Woman.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON ADV VERB PART ADV VERB DET ADJ ADJ NOUN ADV ADP ADJ ADJ ADJ NOUN NOUN VERB PART VERB PRON DET ADP ADP PRON VERB DET PROPN PROPN ADV ADP PROPN	▁She ▁never ▁seemed ▁to ▁completely ▁shake ▁the ▁du mb ▁b lon de ▁image , ▁perhaps ▁because ▁her ▁s que ak y ▁little ▁girl ▁voice ▁operated ▁to ▁remind ▁us ▁all ▁along ▁that ▁she ▁was ▁a ▁Working ▁Gi rl ▁rather ▁than ▁Wo man .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB PART ADV VERB DET ADJ ADJ ADJ ADJ ADJ NOUN NOUN ADV ADP ADJ ADJ ADJ ADJ ADJ ADJ NOUN NOUN VERB PART VERB PRON DET ADP ADP PRON VERB DET PROPN PROPN PROPN ADV ADP PROPN PROPN PROPN
No, Maidstone had been right all along : Sandison knew nothing about what went on in the city.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	INTJ PROPN VERB VERB ADV ADV ADV PUNCT PROPN VERB NOUN ADP NOUN VERB PART ADP DET NOUN	▁No , ▁M aid stone ▁had ▁been ▁right ▁all ▁along ▁ : ▁Sand ison ▁knew ▁nothing ▁about ▁what ▁went ▁on ▁in ▁the ▁city .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ PROPN PROPN PROPN VERB VERB ADV ADV ADV PUNCT PUNCT PROPN PROPN VERB NOUN ADP NOUN VERB PART ADP DET NOUN NOUN
Amir now announced that he had all along been a Communist!	0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	PROPN ADV VERB ADP PRON VERB ADV ADV VERB DET PROPN	▁A mir ▁now ▁announced ▁that ▁he ▁had ▁all ▁along ▁been ▁a ▁Commun ist !	0 0 0 0 0 0 0 1 1 0 0 0 0 0	PROPN PROPN ADV VERB ADP PRON VERB ADV ADV VERB DET PROPN PROPN PROPN
Leo was probably fun to be with, a great companion, a good friend, she thought, then gave a wry chagrined smile as he turned towards her as though he 'd been aware of her presence all along — and she might have known he wouldn't do anything so obliging as to walk off.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PROPN VERB ADV ADJ PART VERB ADP DET ADJ NOUN DET ADJ NOUN PRON VERB ADV VERB DET NOUN VERB NOUN ADP PRON VERB ADP PRON ADP ADP PRON VERB VERB ADJ ADP ADJ NOUN DET ADV PUNCT CCONJ PRON VERB VERB VERB PRON VERB VERB NOUN ADV VERB ADP PART VERB ADV	▁L eo ▁was ▁probably ▁fun ▁to ▁be ▁with , ▁a ▁great ▁companion , ▁a ▁good ▁friend , ▁she ▁thought , ▁then ▁gave ▁a ▁w ry ▁ch agri ned ▁smile ▁as ▁he ▁turned ▁towards ▁her ▁as ▁though ▁he ▁' d ▁been ▁aware ▁of ▁her ▁presence ▁all ▁along ▁ — ▁and ▁she ▁might ▁have ▁known ▁he ▁would n ' t ▁do ▁anything ▁so ▁oblig ing ▁as ▁to ▁walk ▁off .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADV ADJ PART VERB ADP ADP DET ADJ NOUN NOUN DET ADJ NOUN NOUN PRON VERB VERB ADV VERB DET NOUN NOUN VERB VERB VERB NOUN ADP PRON VERB ADP PRON ADP ADP PRON VERB VERB VERB ADJ ADP ADJ NOUN DET ADV PUNCT PUNCT CCONJ PRON VERB VERB VERB PRON VERB VERB VERB VERB VERB NOUN ADV VERB VERB ADP PART VERB ADV ADV
He then mobilised, with the co - operation of the other companies concerned, an army of platelayers and other company servants who were deployed within sight of one another, all along the 600 miles of railway between Windsor and Ballater ; every yard of the route was narrowly inspected, and every bridge, viaduct, tunnel, and level crossing was closely watched and guarded until the train had passed.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	PRON ADV VERB ADP DET NOUN PUNCT NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN CCONJ ADJ NOUN NOUN NOUN VERB VERB ADP NOUN ADP NOUN DET ADV ADP DET NUM NOUN ADP NOUN ADP PROPN CCONJ PROPN PUNCT DET NOUN ADP DET NOUN VERB ADV VERB CCONJ DET NOUN NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB CCONJ VERB ADP DET NOUN VERB VERB	▁He ▁then ▁mobilised , ▁with ▁the ▁co ▁- ▁operation ▁of ▁the ▁other ▁companies ▁concerned , ▁an ▁army ▁of ▁plate layer s ▁and ▁other ▁company ▁servants ▁who ▁were ▁deployed ▁within ▁sight ▁of ▁one ▁another , ▁all ▁along ▁the ▁600 ▁miles ▁of ▁railway ▁between ▁Wind s or ▁and ▁Ball a ter ▁ ; ▁every ▁yard ▁of ▁the ▁route ▁was ▁narrow ly ▁inspected , ▁and ▁every ▁bridge , ▁via duct , ▁tunnel , ▁and ▁level ▁crossing ▁was ▁closely ▁watch ed ▁and ▁guard ed ▁until ▁the ▁train ▁had ▁passed .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB VERB ADP DET NOUN PUNCT NOUN ADP DET ADJ NOUN VERB VERB DET NOUN ADP NOUN NOUN NOUN CCONJ ADJ NOUN NOUN NOUN VERB VERB ADP NOUN ADP NOUN DET DET ADV ADP DET NUM NOUN ADP NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PUNCT PUNCT DET NOUN ADP DET NOUN VERB ADV ADV VERB VERB CCONJ DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB VERB CCONJ VERB VERB ADP DET NOUN VERB VERB VERB
But if just once I feel I 've run as hard as I possible could, in good shape, and I 've still only done 27:50, maybe I 'll be happy to say, ‘ Oh well, Solly, you 've been kidding yourself all along’.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	dashes	CCONJ ADP ADV ADV PRON VERB PRON VERB VERB ADV ADV ADP PRON ADJ VERB ADP ADJ NOUN CCONJ PRON VERB ADV ADV VERB NUM ADV PRON VERB VERB ADJ PART VERB PUNCT INTJ INTJ ADV PRON VERB VERB VERB PRON DET X	▁But ▁if ▁just ▁once ▁I ▁feel ▁I ▁' ve ▁run ▁as ▁hard ▁as ▁I ▁possible ▁could , ▁in ▁good ▁shape , ▁and ▁I ▁' ve ▁still ▁only ▁done ▁27 : 50 , ▁maybe ▁I ▁' ll ▁be ▁happy ▁to ▁say , ▁ ‘ ▁O h ▁well , ▁Sol ly , ▁you ▁' ve ▁been ▁kid d ing ▁yourself ▁all ▁along ’ . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ ADP ADV ADV PRON VERB PRON VERB VERB VERB ADV ADV ADP PRON ADJ VERB VERB ADP ADJ NOUN NOUN CCONJ PRON VERB VERB ADV ADV VERB NUM NUM NUM NUM ADV PRON VERB VERB VERB ADJ PART VERB VERB PUNCT PUNCT INTJ INTJ INTJ INTJ ADV ADV ADV PRON VERB VERB VERB VERB VERB VERB PRON DET X X X X
This was the kind of diversification Daimler should have pursued all along, rather than chasing grandiose ‘ synergies’ which probably do not exist.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	DET VERB DET NOUN ADP NOUN PROPN VERB VERB VERB ADV ADV ADV ADP VERB ADJ PUNCT NOUN ADJ ADV VERB ADV VERB	▁This ▁was ▁the ▁kind ▁of ▁diversification ▁Da im ler ▁should ▁have ▁pursued ▁all ▁along , ▁rather ▁than ▁cha s ing ▁grand i ose ▁ ‘ ▁synergies ’ ▁which ▁probably ▁do ▁not ▁exist .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET NOUN ADP NOUN PROPN PROPN PROPN VERB VERB VERB ADV ADV ADV ADV ADP VERB VERB VERB ADJ ADJ ADJ PUNCT PUNCT NOUN NOUN ADJ ADV VERB ADV VERB VERB
He is not quite as good as Mike Gatting, who works the ball all along the ground on both sides of the wicket, but Graham now has no fear of stepping down the track to any spinner and planting the ball firmly over long - on.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	PRON VERB ADV ADV ADV ADJ ADP PROPN PROPN NOUN VERB DET NOUN DET ADP DET NOUN ADP DET NOUN ADP DET NOUN CCONJ PROPN ADV VERB DET NOUN ADP VERB ADP DET NOUN ADP DET NOUN CCONJ VERB DET NOUN ADV ADP ADV PUNCT ADV	▁He ▁is ▁not ▁quite ▁as ▁good ▁as ▁M ike ▁G att ing , ▁who ▁works ▁the ▁ball ▁all ▁along ▁the ▁ground ▁on ▁both ▁sides ▁of ▁the ▁ wick et , ▁but ▁Gra ham ▁now ▁has ▁no ▁fear ▁of ▁stepping ▁down ▁the ▁track ▁to ▁any ▁spin ner ▁and ▁planting ▁the ▁ball ▁firmly ▁over ▁long ▁- ▁on .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADV ADV ADJ ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB DET NOUN DET ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ PROPN PROPN ADV VERB DET NOUN ADP VERB ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB DET NOUN ADV ADP ADV PUNCT ADV ADV
All along the valley, stream that flashest white, Deepening thy voice with the deepening of the night, All along the valley, where thy waters flow, I walked with one I loved two and thirty years ago.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	case	DET ADP DET NOUN NOUN ADP ADJ ADJ VERB ADJ NOUN ADP DET NOUN ADP DET NOUN ADV ADP DET NOUN ADV ADJ NOUN VERB PRON VERB ADP NUM PRON VERB NUM CCONJ NUM NOUN ADV	▁All ▁along ▁the ▁valley , ▁stream ▁that ▁flash est ▁white , ▁Deep ening ▁thy ▁voice ▁with ▁the ▁deepening ▁of ▁the ▁night , ▁All ▁along ▁the ▁valley , ▁where ▁thy ▁waters ▁flow , ▁I ▁walked ▁with ▁one ▁I ▁love d ▁two ▁and ▁thirty ▁years ▁ago .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADP DET NOUN NOUN NOUN ADP ADJ ADJ ADJ ADJ VERB VERB ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN ADV ADP DET NOUN NOUN ADV ADJ NOUN VERB VERB PRON VERB ADP NUM PRON VERB VERB NUM CCONJ NUM NOUN ADV ADV
It was only now that appreciate what nature has known all along.	0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB ADV ADV ADJ VERB NOUN NOUN VERB VERB DET ADV	▁It ▁was ▁only ▁now ▁that ▁appreciate ▁what ▁nature ▁has ▁known ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB ADV ADV ADJ VERB NOUN NOUN VERB VERB DET ADV ADV
B : Oh he got a fine If it later transpires that Harry got a life sentence too, then B ( if he knew this all along ) would certainly be guilty of misleading A, for he has failed to provide all the information that might reasonably be required in the situation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	NOUN PUNCT INTJ PRON VERB DET NOUN ADP PRON ADV NOUN ADJ PROPN VERB DET NOUN NOUN ADV ADV NOUN PUNCT ADP PRON VERB DET DET ADP PUNCT VERB ADV VERB ADJ ADP VERB PROPN ADP PRON VERB VERB PART VERB ADJ DET NOUN ADJ VERB ADV VERB VERB ADP DET NOUN	▁B ▁ : ▁O h ▁he ▁got ▁a ▁fine ▁If ▁it ▁later ▁transpire s ▁that ▁H arry ▁got ▁a ▁life ▁sentence ▁too , ▁then ▁B ▁( ▁if ▁he ▁knew ▁this ▁all ▁along ▁ ) ▁would ▁certainly ▁be ▁guilty ▁of ▁misleading ▁A , ▁for ▁he ▁has ▁failed ▁to ▁provide ▁all ▁the ▁information ▁that ▁might ▁reasonably ▁be ▁required ▁in ▁the ▁situation .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN PUNCT PUNCT INTJ INTJ PRON VERB DET NOUN ADP PRON ADV NOUN NOUN ADJ PROPN PROPN VERB DET NOUN NOUN ADV ADV ADV NOUN PUNCT ADP PRON VERB DET DET ADP PUNCT PUNCT VERB ADV VERB ADJ ADP VERB PROPN PROPN ADP PRON VERB VERB PART VERB ADJ DET NOUN ADJ VERB ADV VERB VERB ADP DET NOUN NOUN
He said all along he wanted to go to Manchester City, but if he couldn't go there he would sign for Palace,’ said Coppell.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADV ADP PRON VERB PART VERB ADP PROPN PROPN CCONJ ADP PRON VERB VERB ADV PRON VERB VERB ADP PROPN VERB PROPN	▁He ▁said ▁all ▁along ▁he ▁wanted ▁to ▁go ▁to ▁Manchester ▁City , ▁but ▁if ▁he ▁could n ' t ▁go ▁there ▁he ▁would ▁sign ▁for ▁Pal ace , ’ ▁said ▁Co ppel l .	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADP PRON VERB PART VERB ADP PROPN PROPN PROPN CCONJ ADP PRON VERB VERB VERB VERB VERB ADV PRON VERB VERB ADP PROPN PROPN PROPN PROPN VERB PROPN PROPN PROPN PROPN
It was tempting to consider asking Bill himself to share the stage, but the consensus of opinion was that people might find the combination a little ghostly, a little too reminiscent, when all along my instinct was to convey the spirit and feeling of Grenfell, without resorting to mimicry.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB ADJ PART VERB VERB PROPN PRON PART VERB DET NOUN CCONJ DET NOUN ADP NOUN VERB ADP NOUN VERB VERB DET NOUN DET ADJ ADV DET ADJ ADV ADJ ADV ADV ADP ADJ NOUN VERB PART VERB DET NOUN CCONJ NOUN ADP PROPN ADP VERB ADP VERB	▁It ▁was ▁tempt ing ▁to ▁consider ▁asking ▁Bill ▁himself ▁to ▁share ▁the ▁stage , ▁but ▁the ▁consensus ▁of ▁opinion ▁was ▁that ▁people ▁might ▁find ▁the ▁combination ▁a ▁little ▁g host ly , ▁a ▁little ▁too ▁re mini s cent , ▁when ▁all ▁along ▁my ▁in stin ct ▁was ▁to ▁convey ▁the ▁spirit ▁and ▁feeling ▁of ▁G ren f ell , ▁without ▁resort ing ▁to ▁mi mic ry .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADJ PART VERB VERB PROPN PRON PART VERB DET NOUN NOUN CCONJ DET NOUN ADP NOUN VERB ADP NOUN VERB VERB DET NOUN DET ADJ ADV ADV ADV ADV DET ADJ ADV ADJ ADJ ADJ ADJ ADJ ADV ADV ADP ADJ NOUN NOUN NOUN VERB PART VERB DET NOUN CCONJ NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP VERB VERB ADP VERB VERB VERB VERB
It now transpires that mothers have been right all along.	0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON ADV VERB ADJ NOUN VERB VERB ADV ADV ADV	▁It ▁now ▁transpire s ▁that ▁mothers ▁have ▁been ▁right ▁all ▁along .	0 0 0 0 0 0 0 0 0 1 1 1	PRON ADV VERB VERB ADJ NOUN VERB VERB ADV ADV ADV ADV
‘ Someone been here all along.’	0 0 0 0 1 1	all along	figurative	dashes	PUNCT NOUN VERB ADV ADV PUNCT	▁ ‘ ▁Some one ▁been ▁here ▁all ▁along . ’	0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT NOUN NOUN VERB ADV ADV PUNCT PUNCT PUNCT
The return journey was on a very old bus which picked up people, with baskets of vegetables ready for Funchal market, all along its route.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	all along	literal	identical	DET NOUN NOUN VERB ADP DET ADV ADJ NOUN ADJ VERB PART NOUN ADP NOUN ADP NOUN ADJ ADP PROPN NOUN ADV ADP ADJ NOUN	▁The ▁return ▁journey ▁was ▁on ▁a ▁very ▁old ▁bus ▁which ▁picked ▁up ▁people , ▁with ▁basket s ▁of ▁vegetables ▁ready ▁for ▁F unch al ▁market , ▁all ▁along ▁its ▁route .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	DET NOUN NOUN VERB ADP DET ADV ADJ NOUN ADJ VERB PART NOUN NOUN ADP NOUN NOUN ADP NOUN ADJ ADP PROPN PROPN PROPN NOUN NOUN ADV ADP ADJ NOUN NOUN
That's been the trouble all along, hasn't it?	0 0 0 0 1 1 0 0	all along	figurative	identical	DET VERB DET NOUN DET ADV VERB PRON	▁That ' s ▁been ▁the ▁trouble ▁all ▁along , ▁has n ' t ▁it ?	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	DET DET DET VERB DET NOUN DET ADV ADV VERB VERB VERB VERB PRON PRON
We owe it to our supporters who have been magnificent all along the line,’ says McGilligan.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	PRON VERB PRON ADP ADJ NOUN NOUN VERB VERB ADJ ADV ADP DET NOUN VERB PROPN	▁We ▁owe ▁it ▁to ▁our ▁supporters ▁who ▁have ▁been ▁magnificent ▁all ▁along ▁the ▁line , ’ ▁says ▁McG ill igan .	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB PRON ADP ADJ NOUN NOUN VERB VERB ADJ ADV ADP DET NOUN NOUN NOUN VERB PROPN PROPN PROPN PROPN
I just said it as if I 'd known it all along.	0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON ADV VERB PRON ADP ADP PRON VERB VERB PRON DET ADV	▁I ▁just ▁said ▁it ▁as ▁if ▁I ▁' d ▁known ▁it ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON ADV VERB PRON ADP ADP PRON VERB VERB VERB PRON DET ADV ADV
It was at the back of my mind all along, you and him.	0 0 0 0 0 0 0 0 1 1 0 0 0	all along	figurative	identical	PRON VERB ADP DET NOUN ADP ADJ NOUN ADV ADV PRON CCONJ PRON	▁It ▁was ▁at ▁the ▁back ▁of ▁my ▁mind ▁all ▁along , ▁you ▁and ▁him .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	PRON VERB ADP DET NOUN ADP ADJ NOUN ADV ADV ADV PRON CCONJ PRON PRON
