The swimming is safe and very tempting in the lake's crystal clear waters.	0 0 0 0 0 0 0 0 0 0 1 1 0	crystal clear	figurative	identical	DET NOUN VERB ADJ CCONJ ADV ADJ ADP DET NOUN NOUN ADJ NOUN	▁The ▁swimming ▁is ▁safe ▁and ▁very ▁tempt ing ▁in ▁the ▁lake ' s ▁crystal ▁clear ▁waters .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	DET NOUN VERB ADJ CCONJ ADV ADJ ADJ ADP DET NOUN NOUN NOUN NOUN ADJ NOUN NOUN
Water takes thousands of years to filter through the ancient limestone of the Peak District, acquiring a natural balance of minerals, and emerges crystal clear and totally pure.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	crystal clear	figurative	identical	NOUN VERB NOUN ADP NOUN PART VERB ADP DET ADJ NOUN ADP DET PROPN PROPN VERB DET ADJ NOUN ADP NOUN CCONJ VERB NOUN ADJ CCONJ ADV ADJ	▁Water ▁takes ▁thousands ▁of ▁years ▁to ▁filter ▁through ▁the ▁ancient ▁limestone ▁of ▁the ▁Peak ▁District , ▁acquiring ▁a ▁natural ▁balance ▁of ▁minerals , ▁and ▁emerges ▁crystal ▁clear ▁and ▁totally ▁pure .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	NOUN VERB NOUN ADP NOUN PART VERB ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN CCONJ VERB NOUN ADJ CCONJ ADV ADJ ADJ
And John will make this crystal clear.	0 0 0 0 0 1 1	crystal clear	figurative	identical	CCONJ PROPN VERB VERB DET NOUN ADJ	▁And ▁John ▁will ▁make ▁this ▁crystal ▁clear .	0 0 0 0 0 1 1 1	CCONJ PROPN VERB VERB DET NOUN ADJ ADJ
The supply stand - off between Russia and Ukraine of 2009 made these worries crystal clear in Europe, where gas imports are set to rise to 86 % of demand by 2030, from 57 % in 2006.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET NOUN VERB PUNCT NOUN ADP PROPN CCONJ PROPN ADP NUM VERB DET NOUN NOUN ADJ ADP PROPN ADV NOUN NOUN VERB VERB PART VERB ADP NUM NOUN ADP NOUN ADP NUM ADP NUM NOUN ADP NUM	▁The ▁supply ▁stand ▁- ▁off ▁between ▁Russia ▁and ▁Ukraine ▁of ▁2009 ▁made ▁these ▁worries ▁crystal ▁clear ▁in ▁Europe , ▁where ▁gas ▁imports ▁are ▁set ▁to ▁rise ▁to ▁86 ▁% ▁of ▁demand ▁by ▁2030 , ▁from ▁57 ▁% ▁in ▁2006.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB PUNCT NOUN ADP PROPN CCONJ PROPN ADP NUM VERB DET NOUN NOUN ADJ ADP PROPN PROPN ADV NOUN NOUN VERB VERB PART VERB ADP NUM NOUN ADP NOUN ADP NUM NUM ADP NUM NOUN ADP NUM
This is made crystal clear in a somewhat laboured exposition in a book by Preece and Maier published in 1889 : Let us suppose the two microphonic transmitters are placed on the stage at T and T 1, and these transmitters separately connected by two distinct wires to two telephone receivers, R and R 1, which are applied to both ears to hear the actor, whom we will suppose to be placed at A. It is easy to understand that, the distance of this actor from transmitter T being less than that from transmitter T 1, his song will be more distinctly reproduced by transmitter T than by T 1, and the stronger impression will be produced on the left ear.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	DET VERB VERB NOUN ADJ ADP DET ADV ADJ NOUN ADP DET NOUN ADP PROPN CCONJ PROPN VERB ADP NUM PUNCT VERB PRON VERB DET NUM ADJ NOUN VERB VERB ADP DET NOUN ADP PROPN CCONJ PROPN NUM CCONJ DET NOUN ADV VERB ADP NUM ADJ NOUN ADP NUM NOUN NOUN NOUN CCONJ NOUN NUM ADJ VERB VERB ADP DET NOUN PART VERB DET NOUN NOUN PRON VERB VERB PART VERB VERB ADP NOUN PRON VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN ADP NOUN NOUN VERB ADJ ADP DET ADP NOUN PROPN NUM ADJ NOUN VERB VERB ADV ADV VERB ADP NOUN NOUN ADP ADP PROPN NUM CCONJ DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN	▁This ▁is ▁made ▁crystal ▁clear ▁in ▁a ▁somewhat ▁labour ed ▁ex position ▁in ▁a ▁book ▁by ▁Pre e ce ▁and ▁Ma ier ▁published ▁in ▁18 89 ▁ : ▁Let ▁us ▁suppose ▁the ▁two ▁micro phoni c ▁transmit ters ▁are ▁placed ▁on ▁the ▁stage ▁at ▁T ▁and ▁T ▁1 , ▁and ▁these ▁transmit ters ▁separately ▁connected ▁by ▁two ▁distinct ▁wires ▁to ▁two ▁telephone ▁receivers , ▁R ▁and ▁R ▁1 , ▁which ▁are ▁applied ▁to ▁both ▁ears ▁to ▁hear ▁the ▁act or , ▁whom ▁we ▁will ▁suppose ▁to ▁be ▁placed ▁at ▁A . ▁It ▁is ▁easy ▁to ▁understand ▁that , ▁the ▁distance ▁of ▁this ▁act or ▁from ▁transmit ter ▁T ▁being ▁less ▁than ▁that ▁from ▁transmit ter ▁T ▁1 , ▁his ▁so ng ▁will ▁be ▁more ▁distinct ly ▁reproduced ▁by ▁transmit ter ▁T ▁than ▁by ▁T ▁1 , ▁and ▁the ▁stronger ▁impression ▁will ▁be ▁produced ▁on ▁the ▁left ▁ear .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB VERB NOUN ADJ ADP DET ADV ADJ ADJ NOUN NOUN ADP DET NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADP NUM NUM PUNCT PUNCT VERB PRON VERB DET NUM ADJ ADJ ADJ NOUN NOUN VERB VERB ADP DET NOUN ADP PROPN CCONJ PROPN NUM NUM CCONJ DET NOUN NOUN ADV VERB ADP NUM ADJ NOUN ADP NUM NOUN NOUN NOUN NOUN CCONJ NOUN NUM NUM ADJ VERB VERB ADP DET NOUN PART VERB DET NOUN NOUN NOUN NOUN PRON VERB VERB PART VERB VERB ADP NOUN NOUN PRON VERB ADJ PART VERB ADP ADP DET NOUN ADP DET NOUN NOUN ADP NOUN NOUN NOUN VERB ADJ ADP DET ADP NOUN NOUN PROPN NUM NUM ADJ NOUN NOUN VERB VERB ADV ADV ADV VERB ADP NOUN NOUN NOUN ADP ADP PROPN NUM NUM CCONJ DET ADJ NOUN VERB VERB VERB ADP DET ADJ NOUN NOUN
One long sandy beach surrounds a huge calm bay with crystal clear green water near the shore changing to blue as the sky deepens.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	NUM ADJ ADJ NOUN VERB DET ADJ ADJ NOUN ADP NOUN ADJ ADJ NOUN ADP DET NOUN VERB ADP NOUN ADP DET NOUN VERB	▁One ▁long ▁sand y ▁be ach ▁surround s ▁a ▁huge ▁calm ▁bay ▁with ▁crystal ▁clear ▁green ▁water ▁near ▁the ▁shore ▁changing ▁to ▁blue ▁as ▁the ▁sky ▁deepen s .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM ADJ ADJ ADJ NOUN NOUN VERB VERB DET ADJ ADJ NOUN ADP NOUN ADJ ADJ NOUN ADP DET NOUN VERB ADP NOUN ADP DET NOUN VERB VERB VERB
This support will become more readily available from parallel functions such as accounts, or selling or marketing or production or research, if all of you are crystal clear what the objective is.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	crystal clear	figurative	identical	DET NOUN VERB VERB ADV ADV ADJ ADP ADJ NOUN ADJ ADP NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN ADP DET ADP PRON VERB NOUN ADJ NOUN DET NOUN VERB	▁This ▁support ▁will ▁become ▁more ▁readily ▁available ▁from ▁parallel ▁functions ▁such ▁as ▁accounts , ▁or ▁selling ▁or ▁marketing ▁or ▁production ▁or ▁research , ▁if ▁all ▁of ▁you ▁are ▁crystal ▁clear ▁what ▁the ▁objective ▁is .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	DET NOUN VERB VERB ADV ADV ADJ ADP ADJ NOUN ADJ ADP NOUN NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN CCONJ NOUN NOUN ADP DET ADP PRON VERB NOUN ADJ NOUN DET NOUN VERB VERB
The difference is crystal clear.	0 0 0 1 1	crystal clear	figurative	identical	DET NOUN VERB NOUN ADJ	▁The ▁difference ▁is ▁crystal ▁clear .	0 0 0 1 1 1	DET NOUN VERB NOUN ADJ ADJ
But Ferguson insisted : ‘ Let me make one thing crystal clear — Manchester United won't bottle it on the last lap of the championship.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	CCONJ PROPN VERB PUNCT PUNCT VERB PRON VERB NUM NOUN NOUN ADJ PUNCT PROPN PROPN VERB VERB PRON ADP DET ADJ NOUN ADP DET NOUN	▁But ▁Fergus on ▁insisted ▁ : ▁ ‘ ▁Let ▁me ▁make ▁one ▁thing ▁crystal ▁clear ▁ — ▁Manchester ▁United ▁won ' t ▁bottle ▁it ▁on ▁the ▁last ▁lap ▁of ▁the ▁champion ship .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN VERB PUNCT PUNCT PUNCT PUNCT VERB PRON VERB NUM NOUN NOUN ADJ PUNCT PUNCT PROPN PROPN VERB VERB VERB VERB PRON ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN
In the rest of Europe, what you wear on your feet is seen as a crystal - clear signal of your professional status.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	crystal clear	figurative	dashes	ADP DET NOUN ADP PROPN NOUN PRON VERB ADP ADJ NOUN VERB VERB ADP DET NOUN PUNCT ADJ NOUN ADP ADJ ADJ NOUN	▁In ▁the ▁rest ▁of ▁Europe , ▁what ▁you ▁wear ▁on ▁your ▁feet ▁is ▁seen ▁as ▁a ▁crystal ▁- ▁clear ▁signal ▁of ▁your ▁professional ▁status .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADP DET NOUN ADP PROPN PROPN NOUN PRON VERB ADP ADJ NOUN VERB VERB ADP DET NOUN PUNCT ADJ NOUN ADP ADJ ADJ NOUN NOUN
And the attraction for them is not the crystal clear images of HDTV, but the prospect of broadcasting up to a dozen channels carrying pictures of today's conventional clarity over cables or satellite transponders that now carry only one channel, a marvel made possible by digital compression.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	crystal clear	figurative	identical	CCONJ DET NOUN ADP PRON VERB ADV DET NOUN ADJ NOUN ADP NOUN CCONJ DET NOUN ADP VERB PART ADP DET NOUN NOUN VERB NOUN ADP NOUN ADJ NOUN ADP NOUN CCONJ NOUN NOUN ADJ ADV VERB ADV NUM NOUN DET NOUN VERB ADJ ADP ADJ NOUN	▁And ▁the ▁attraction ▁for ▁them ▁is ▁not ▁the ▁crystal ▁clear ▁images ▁of ▁HDTV , ▁but ▁the ▁prospect ▁of ▁broadcasting ▁up ▁to ▁a ▁dozen ▁channels ▁carrying ▁pictures ▁of ▁today ' s ▁conventional ▁clarity ▁over ▁cables ▁or ▁satellite ▁transponder s ▁that ▁now ▁carry ▁only ▁one ▁channel , ▁a ▁mar vel ▁made ▁possible ▁by ▁digital ▁compression .	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN ADP PRON VERB ADV DET NOUN ADJ NOUN ADP NOUN NOUN CCONJ DET NOUN ADP VERB PART ADP DET NOUN NOUN VERB NOUN ADP NOUN NOUN NOUN ADJ NOUN ADP NOUN CCONJ NOUN NOUN NOUN ADJ ADV VERB ADV NUM NOUN NOUN DET NOUN NOUN VERB ADJ ADP ADJ NOUN NOUN
