She smiled again, which Mark again returned, even though he was not in the running.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB ADV ADJ PROPN ADV VERB ADV ADP PRON VERB ADV ADP DET NOUN	▁She ▁smile d ▁again , ▁which ▁Mark ▁again ▁returned , ▁even ▁though ▁he ▁was ▁not ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADV ADV ADJ PROPN ADV VERB VERB ADV ADP PRON VERB ADV ADP DET NOUN NOUN
The pain barriers appear just as in marathon running and, as in other endurance sports, many people withdraw, suffering from either dehydration or cramp.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	determiner-broad	DET NOUN NOUN VERB ADV ADP ADP NOUN NOUN CCONJ ADP ADP ADJ NOUN NOUN ADJ NOUN VERB VERB ADP DET NOUN CCONJ NOUN	▁The ▁pain ▁barriers ▁appear ▁just ▁as ▁in ▁mar ath on ▁running ▁and , ▁as ▁in ▁other ▁endurance ▁sports , ▁many ▁people ▁withdraw , ▁suffering ▁from ▁either ▁dehydration ▁or ▁cr amp .	0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADV ADP ADP NOUN NOUN NOUN NOUN CCONJ CCONJ ADP ADP ADJ NOUN NOUN NOUN ADJ NOUN VERB VERB VERB ADP DET NOUN CCONJ NOUN NOUN NOUN
On Jan. 30 the human rights, minority and religious affairs committee of the National Assembly approved the distribution of the equivalent of US$ 200 million to the various minority groups to assist in the running of their organizations and unions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	in the running	literal	identical	ADP PROPN NUM DET ADJ NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET PROPN PROPN VERB DET NOUN ADP DET NOUN ADP SYM NUM NUM ADP DET ADJ NOUN NOUN PART VERB ADP DET NOUN ADP ADJ NOUN CCONJ NOUN	▁On ▁Jan . ▁30 ▁the ▁human ▁rights , ▁minority ▁and ▁religious ▁affairs ▁committee ▁of ▁the ▁National ▁Assembly ▁approved ▁the ▁distribution ▁of ▁the ▁equivalent ▁of ▁US $ ▁200 ▁million ▁to ▁the ▁various ▁minority ▁groups ▁to ▁assist ▁in ▁the ▁running ▁of ▁their ▁organizations ▁and ▁unions .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADP PROPN PROPN NUM DET ADJ NOUN NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET PROPN PROPN VERB DET NOUN ADP DET NOUN ADP SYM SYM NUM NUM ADP DET ADJ NOUN NOUN PART VERB ADP DET NOUN ADP ADJ NOUN CCONJ NOUN NOUN
TWO Cleveland offshore businesses are in the running to win a construction order worth around £ 50 m.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	NUM PROPN ADJ NOUN VERB ADP DET NOUN PART VERB DET NOUN NOUN ADJ ADP SYM NUM NOUN	▁TWO ▁C level and ▁offshore ▁businesses ▁are ▁in ▁the ▁running ▁to ▁win ▁a ▁construction ▁order ▁worth ▁around ▁£ ▁50 ▁m .	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	NUM PROPN PROPN PROPN ADJ NOUN VERB ADP DET NOUN PART VERB DET NOUN NOUN ADJ ADP SYM NUM NOUN NOUN
MADRID – With three nominees now in the running to become the World ~ Bank ’s next president – Nigerian Finance ~ Minister Ngozi ~ Okonjo - Iweala, former Colombian Finance ~ Minister José ~ Antonio ~ Ocampo, and the United ~ States ’ nominee, Dartmouth ~ College ~ President Jim ~ Yong ~ Kim – this is the moment to step back and assess the Bank ’s trajectory.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PUNCT ADP NUM NOUN ADV ADP DET NOUN PART VERB DET PROPN PUNCT PROPN PART ADJ NOUN PUNCT ADJ PROPN PUNCT PROPN PROPN SYM PROPN PUNCT PROPN ADJ ADJ PROPN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN CCONJ DET PROPN PUNCT PROPN PART NOUN PROPN PUNCT NOUN PUNCT PROPN PROPN PUNCT PROPN PUNCT PROPN PUNCT DET VERB DET NOUN PART VERB ADV CCONJ VERB DET PROPN PART NOUN	▁M AD RID ▁ – ▁With ▁three ▁nominee s ▁now ▁in ▁the ▁running ▁to ▁become ▁the ▁World ▁ ~ ▁Bank ▁ ’ s ▁next ▁president ▁ – ▁Nigeria n ▁Finance ▁ ~ ▁Minister ▁N go zi ▁ ~ ▁O kon jo ▁- ▁I we ala , ▁former ▁Colombia n ▁Finance ▁ ~ ▁Minister ▁José ▁ ~ ▁Antonio ▁ ~ ▁O cam po , ▁and ▁the ▁United ▁ ~ ▁States ▁ ’ ▁nominee , ▁Dar t mouth ▁ ~ ▁College ▁ ~ ▁President ▁J im ▁ ~ ▁Y ong ▁ ~ ▁K im ▁ – ▁this ▁is ▁the ▁moment ▁to ▁step ▁back ▁and ▁assess ▁the ▁Bank ▁ ’ s ▁trajectory .	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PUNCT PUNCT ADP NUM NOUN NOUN ADV ADP DET NOUN PART VERB DET PROPN PUNCT PUNCT PROPN PART PART PART ADJ NOUN PUNCT PUNCT ADJ ADJ PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN SYM SYM PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN ADJ ADJ ADJ PROPN PUNCT PUNCT PROPN PROPN PUNCT PUNCT PROPN PUNCT PUNCT PROPN PROPN PROPN PROPN CCONJ DET PROPN PUNCT PUNCT PROPN PART PART NOUN NOUN PROPN PROPN PROPN PUNCT PUNCT NOUN PUNCT PUNCT PROPN PROPN PROPN PUNCT PUNCT PROPN PROPN PUNCT PUNCT PROPN PROPN PUNCT PUNCT DET VERB DET NOUN PART VERB ADV CCONJ VERB DET PROPN PART PART PART NOUN NOUN
Nonetheless, it seems clear that Mr Wood — whose career has been in corporate treasury departments — decided quite early on that he was not in the running for the job of chief executive, given Barclays ' desire that someone with all - round banking experience fill the post.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	ADV PRON VERB ADJ ADP PROPN PROPN PUNCT ADJ NOUN VERB VERB ADP ADJ NOUN NOUN PUNCT VERB ADV ADV ADP ADP PRON VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ NOUN VERB PROPN PART NOUN ADP NOUN ADP DET PUNCT ADJ NOUN NOUN VERB DET NOUN	▁Nonetheless , ▁it ▁seems ▁clear ▁that ▁Mr ▁Wood ▁ — ▁whose ▁career ▁has ▁been ▁in ▁corporate ▁treasury ▁departments ▁ — ▁decided ▁quite ▁early ▁on ▁that ▁he ▁was ▁not ▁in ▁the ▁running ▁for ▁the ▁job ▁of ▁chief ▁executive , ▁given ▁Bar c lay s ▁' ▁desire ▁that ▁someone ▁with ▁all ▁- ▁round ▁banking ▁experience ▁fill ▁the ▁post .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB ADJ ADP PROPN PROPN PUNCT PUNCT ADJ NOUN VERB VERB ADP ADJ NOUN NOUN PUNCT PUNCT VERB ADV ADV ADP ADP PRON VERB ADV ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN VERB PROPN PROPN PROPN PROPN PART NOUN ADP NOUN ADP DET PUNCT ADJ NOUN NOUN VERB DET NOUN NOUN
One of the rising stars of motor racing has been to meet the men who 've put him and his car back in the running for success.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	in the running	figurative	identical	NUM ADP DET VERB NOUN ADP NOUN NOUN VERB VERB PART VERB DET NOUN NOUN VERB VERB PRON CCONJ ADJ NOUN ADV ADP DET NOUN ADP NOUN	▁One ▁of ▁the ▁rising ▁stars ▁of ▁motor ▁racing ▁has ▁been ▁to ▁meet ▁the ▁men ▁who ▁' ve ▁put ▁him ▁and ▁his ▁car ▁back ▁in ▁the ▁running ▁for ▁success .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	NUM ADP DET VERB NOUN ADP NOUN NOUN VERB VERB PART VERB DET NOUN NOUN VERB VERB VERB PRON CCONJ ADJ NOUN ADV ADP DET NOUN ADP NOUN NOUN
Two decades after the World Bank report, another commission of inquiry was complaining that the state ‘ interferes excessively in the running of the [ railway]companies, without that resulting in the clarification of the objectives that they should pursue or in exercise of effective control over them’(CEFE 1984 : 33 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	NUM NOUN ADP DET PROPN PROPN NOUN DET NOUN ADP NOUN VERB VERB ADP DET NOUN ADJ NOUN ADV ADP DET NOUN ADP DET PUNCT NOUN ADP DET VERB ADP DET NOUN ADP DET NOUN ADP PRON VERB VERB CCONJ ADP NOUN ADP ADJ NOUN ADP NOUN NUM PUNCT NUM PUNCT	▁Two ▁decades ▁after ▁the ▁World ▁Bank ▁report , ▁another ▁commission ▁of ▁inquiry ▁was ▁complaining ▁that ▁the ▁state ▁ ‘ ▁interfere s ▁excessively ▁in ▁the ▁running ▁of ▁the ▁[ ▁railway ] companies , ▁without ▁that ▁resulting ▁in ▁the ▁clarification ▁of ▁the ▁objectives ▁that ▁they ▁should ▁pursue ▁or ▁in ▁exercise ▁of ▁effective ▁control ▁over ▁them ’ ( CE FE ▁1984 ▁ : ▁33 ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN ADP DET PROPN PROPN NOUN NOUN DET NOUN ADP NOUN VERB VERB ADP DET NOUN ADJ ADJ NOUN NOUN ADV ADP DET NOUN ADP DET PUNCT NOUN NOUN NOUN NOUN ADP DET VERB ADP DET NOUN ADP DET NOUN ADP PRON VERB VERB CCONJ ADP NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN NOUN NOUN NUM PUNCT PUNCT NUM PUNCT PUNCT
Celtic turmoil FOOTBALL : Celtic's embattled board of directors are facing the prospect of an extraordinary general meeting before the end of the season after a meeting yesterday between Parkhead chairman Kevin Kelly and powerful Canadian businessman and Celtic shareholder Jim Doherty, who is the central figure in a group demanding sweeping changes in the running of the club.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	ADJ NOUN NOUN PUNCT PROPN ADJ NOUN ADP NOUN VERB VERB DET NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN NOUN PROPN PROPN CCONJ ADJ ADJ NOUN CCONJ ADJ NOUN PROPN PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN VERB ADJ NOUN ADP DET NOUN ADP DET NOUN	▁Cel tic ▁turmoil ▁ FO OT B ALL ▁ : ▁Cel tic ' s ▁ emb att led ▁board ▁of ▁directors ▁are ▁facing ▁the ▁prospect ▁of ▁an ▁extraordinary ▁general ▁meeting ▁before ▁the ▁end ▁of ▁the ▁season ▁after ▁a ▁meeting ▁yesterday ▁between ▁Park head ▁chairman ▁Ke vin ▁Kel ly ▁and ▁powerful ▁Canadian ▁business man ▁and ▁Cel tic ▁shareholder ▁J im ▁Do her ty , ▁who ▁is ▁the ▁central ▁figure ▁in ▁a ▁group ▁demanding ▁sweep ing ▁changes ▁in ▁the ▁running ▁of ▁the ▁club .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN ADJ ADJ ADJ ADJ NOUN ADP NOUN VERB VERB DET NOUN ADP DET ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN ADP PROPN PROPN NOUN PROPN PROPN PROPN PROPN CCONJ ADJ ADJ NOUN NOUN CCONJ ADJ ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB DET ADJ NOUN ADP DET NOUN VERB ADJ ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN
Either at New Year or before July you can anticipate a change in the everyday running of your life.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	in the running	literal	insertion-other	CCONJ ADP PROPN PROPN CCONJ ADP PROPN PRON VERB VERB DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN	▁Either ▁at ▁New ▁Year ▁or ▁before ▁July ▁you ▁can ▁anticipate ▁a ▁change ▁in ▁the ▁everyday ▁running ▁of ▁your ▁life .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	CCONJ ADP PROPN PROPN CCONJ ADP PROPN PRON VERB VERB DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN NOUN
Early on in the running of the clinic it had been found that treatment with house dust 200 alone was less effective and less long - lasting if the avoidance programme was not also undertaken, but it was not possible, from the nature of the study, to assess what proportion of the benefit was attributable to each measure.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	ADV ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB VERB ADP NOUN ADP NOUN NOUN NUM ADV VERB ADV ADJ CCONJ ADV ADV PUNCT VERB ADP DET NOUN NOUN VERB ADV ADV VERB CCONJ PRON VERB ADV ADJ ADP DET NOUN ADP DET NOUN PART VERB NOUN NOUN ADP DET NOUN VERB ADJ ADP DET NOUN	▁Early ▁on ▁in ▁the ▁running ▁of ▁the ▁clinic ▁it ▁had ▁been ▁found ▁that ▁treatment ▁with ▁house ▁dust ▁200 ▁alone ▁was ▁less ▁effective ▁and ▁less ▁long ▁- ▁lasting ▁if ▁the ▁avoidance ▁programme ▁was ▁not ▁also ▁undertaken , ▁but ▁it ▁was ▁not ▁possible , ▁from ▁the ▁nature ▁of ▁the ▁study , ▁to ▁assess ▁what ▁proportion ▁of ▁the ▁benefit ▁was ▁attributable ▁to ▁each ▁measure .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB VERB ADP NOUN ADP NOUN NOUN NUM ADV VERB ADV ADJ CCONJ ADV ADV PUNCT VERB ADP DET NOUN NOUN VERB ADV ADV VERB VERB CCONJ PRON VERB ADV ADJ ADJ ADP DET NOUN ADP DET NOUN NOUN PART VERB NOUN NOUN ADP DET NOUN VERB ADJ ADP DET NOUN NOUN
Executives may play a major part in the running of the paper.	0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN	▁Executive s ▁may ▁play ▁a ▁major ▁part ▁in ▁the ▁running ▁of ▁the ▁paper .	0 0 0 0 0 0 0 1 0 1 0 0 0 0	NOUN NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN
The sale of goods for use by the purchaser in the running of his business, e.g. a typewriter for use in a firm's office.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the running	literal	identical	DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN ADV DET NOUN ADP NOUN ADP DET NOUN NOUN	▁The ▁sale ▁of ▁goods ▁for ▁use ▁by ▁the ▁purchaser ▁in ▁the ▁running ▁of ▁his ▁business , ▁e . g . ▁a ▁typewriter ▁for ▁use ▁in ▁a ▁firm ' s ▁office .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN ADP NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN NOUN ADV ADV ADV ADV DET NOUN ADP NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
Ms d'Harnoncourt, the only woman in the running, failed to make the short list because, according to Dr Murphy, ‘ She didn't quite have the administrative skills needed for our museum’.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	PROPN PROPN DET ADJ NOUN ADP DET NOUN VERB PART VERB DET ADJ NOUN ADP VERB ADP PROPN PROPN PUNCT PRON VERB ADV VERB DET ADJ NOUN VERB ADP ADJ NOUN	▁Ms ▁d ' H ar non court , ▁the ▁only ▁woman ▁in ▁the ▁running , ▁failed ▁to ▁make ▁the ▁short ▁list ▁because , ▁according ▁to ▁Dr ▁Mur phy , ▁ ‘ ▁She ▁did n ' t ▁quite ▁have ▁the ▁administrative ▁skills ▁needed ▁for ▁our ▁museum ’ .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET ADJ NOUN ADP DET NOUN NOUN VERB PART VERB DET ADJ NOUN ADP ADP VERB ADP PROPN PROPN PROPN PROPN PUNCT PUNCT PRON VERB VERB VERB VERB ADV VERB DET ADJ NOUN VERB ADP ADJ NOUN NOUN NOUN
She had been thinking of the three men downstairs, though perhaps one could hardly count John as being in the running.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the running	figurative	identical	PRON VERB VERB VERB ADP DET NUM NOUN ADV ADP ADV PRON VERB ADV VERB PROPN ADP VERB ADP DET NOUN	▁She ▁had ▁been ▁thinking ▁of ▁the ▁three ▁men ▁down st air s , ▁though ▁perhaps ▁one ▁could ▁hardly ▁count ▁John ▁as ▁being ▁in ▁the ▁running .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB VERB ADP DET NUM NOUN ADV ADV ADV ADV ADV ADP ADV PRON VERB ADV VERB PROPN ADP VERB ADP DET NOUN NOUN
Howard Clark is back in the running …	0 0 0 0 1 0 1 0	in the running	figurative	identical	PROPN PROPN VERB ADV ADP DET NOUN PUNCT	▁How ard ▁ Clark ▁is ▁back ▁in ▁the ▁running ▁...	0 0 0 0 0 0 1 0 1 0	PROPN PROPN PROPN PROPN VERB ADV ADP DET NOUN PUNCT
‘ I want the Association to have a powerful voice in the running of the game.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	in the running	literal	identical	PUNCT PRON VERB DET PROPN PART VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN	▁ ‘ ▁I ▁want ▁the ▁Association ▁to ▁have ▁a ▁powerful ▁voice ▁in ▁the ▁running ▁of ▁the ▁game .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	PUNCT PUNCT PRON VERB DET PROPN PART VERB DET ADJ NOUN ADP DET NOUN ADP DET NOUN NOUN
The government has paid for the restructuring of the Villahermosa Palace to house the collection ; it is guaranteeing any short - fall in the running costs after entrance fees are collected ; it is paying $ 6 million rent a year, index - linked, for the collection ; it has introduced an indemnity scheme to cover the works of art, and has given the Baron and Baroness the last word on how the collection is to be administered during the ten years of the loan, at the end of which the collection is handed back, with exemption from Spain's otherwise very restrictive art export laws.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the running	figurative	identical	DET NOUN VERB VERB ADP DET NOUN ADP DET PROPN PROPN PART VERB DET NOUN PUNCT PRON VERB VERB DET ADJ PUNCT NOUN ADP DET VERB NOUN ADP NOUN NOUN VERB VERB PUNCT PRON VERB VERB SYM NUM NUM NOUN DET NOUN NOUN PUNCT VERB ADP DET NOUN PUNCT PRON VERB VERB DET NOUN NOUN PART VERB DET NOUN ADP NOUN CCONJ VERB VERB DET PROPN CCONJ PROPN DET ADJ NOUN ADP ADV DET NOUN VERB PART VERB VERB ADP DET NUM NOUN ADP DET NOUN ADP DET NOUN ADP ADJ DET NOUN VERB VERB PART ADP NOUN ADP PROPN ADV ADV ADJ NOUN NOUN NOUN	▁The ▁government ▁has ▁paid ▁for ▁the ▁restructuring ▁of ▁the ▁V illa her mos a ▁Pal ace ▁to ▁house ▁the ▁collection ▁ ; ▁it ▁is ▁guarantee ing ▁any ▁short ▁- ▁fall ▁in ▁the ▁running ▁costs ▁after ▁entrance ▁fees ▁are ▁collected ▁ ; ▁it ▁is ▁paying ▁$ ▁6 ▁million ▁rent ▁a ▁year , ▁index ▁- ▁linked , ▁for ▁the ▁collection ▁ ; ▁it ▁has ▁introduced ▁an ▁indemnity ▁scheme ▁to ▁cover ▁the ▁works ▁of ▁art , ▁and ▁has ▁given ▁the ▁Bar on ▁and ▁Bar o ness ▁the ▁last ▁word ▁on ▁how ▁the ▁collection ▁is ▁to ▁be ▁administered ▁during ▁the ▁ten ▁years ▁of ▁the ▁loan , ▁at ▁the ▁end ▁of ▁which ▁the ▁collection ▁is ▁handed ▁back , ▁with ▁exemption ▁from ▁Spain ' s ▁otherwise ▁very ▁restrictive ▁art ▁export ▁laws .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB VERB ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PART VERB DET NOUN PUNCT PUNCT PRON VERB VERB VERB DET ADJ PUNCT NOUN ADP DET VERB NOUN ADP NOUN NOUN VERB VERB PUNCT PUNCT PRON VERB VERB SYM NUM NUM NOUN DET NOUN NOUN NOUN PUNCT VERB VERB ADP DET NOUN PUNCT PUNCT PRON VERB VERB DET NOUN NOUN PART VERB DET NOUN ADP NOUN NOUN CCONJ VERB VERB DET PROPN PROPN CCONJ PROPN PROPN PROPN DET ADJ NOUN ADP ADV DET NOUN VERB PART VERB VERB ADP DET NUM NOUN ADP DET NOUN NOUN ADP DET NOUN ADP ADJ DET NOUN VERB VERB PART PART ADP NOUN ADP PROPN PROPN PROPN ADV ADV ADJ NOUN NOUN NOUN NOUN
Phyllis specialised in gymnastics, won medals in local and national competitions and, at the approach of the 1932 Los Angeles Olympics, was in the running for a place in the PT team.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	in the running	figurative	identical	NOUN VERB ADP NOUN VERB NOUN ADP ADJ CCONJ ADJ NOUN CCONJ ADP DET NOUN ADP DET NUM PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN NOUN	▁Ph yl lis ▁specialised ▁in ▁g ym nas tics , ▁won ▁med al s ▁in ▁local ▁and ▁national ▁competition s ▁and , ▁at ▁the ▁approach ▁of ▁the ▁19 32 ▁Lo s ▁Angel es ▁Olympic s , ▁was ▁in ▁the ▁running ▁for ▁a ▁place ▁in ▁the ▁PT ▁team .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	NOUN NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN NOUN VERB NOUN NOUN NOUN ADP ADJ CCONJ ADJ NOUN NOUN CCONJ CCONJ ADP DET NOUN ADP DET NUM NUM PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN NOUN NOUN
That they had more say in the running of their industry of the railway.	0 0 0 0 0 1 0 1 0 0 0 0 0 0	in the running	literal	identical	ADP PRON VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP DET NOUN	▁That ▁they ▁had ▁more ▁say ▁in ▁the ▁running ▁of ▁their ▁industry ▁of ▁the ▁railway .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	ADP PRON VERB ADJ NOUN ADP DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN
