Mostly she deals with moral issues, though some are topical or ‘ tongue in cheek’.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	tongue in cheek	figurative	dashes	ADV PRON VERB ADP ADJ NOUN ADP DET VERB ADJ CCONJ PUNCT NOUN ADP NOUN	▁Most ly ▁she ▁deals ▁with ▁moral ▁issues , ▁though ▁some ▁are ▁topical ▁or ▁ ‘ ▁tongue ▁in ▁che ek ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADV ADV PRON VERB ADP ADJ NOUN NOUN ADP DET VERB ADJ CCONJ PUNCT PUNCT NOUN ADP NOUN NOUN NOUN NOUN
She frolicked as a mermaid for the tongue - in - cheek promotional film for her new hit, No Ordinary Love.	0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PRON VERB ADP DET NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN ADJ NOUN ADP ADJ ADJ NOUN DET PROPN PROPN	▁She ▁fro lick ed ▁as ▁a ▁me rma id ▁for ▁the ▁tongue ▁- ▁in ▁- ▁che ek ▁promotion al ▁film ▁for ▁her ▁new ▁hit , ▁No ▁Ordinary ▁Lo ve .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADP DET NOUN NOUN NOUN ADP DET NOUN PUNCT ADP PUNCT NOUN NOUN ADJ ADJ NOUN ADP ADJ ADJ NOUN NOUN DET PROPN PROPN PROPN PROPN
What was said tongue - in - cheek was received as confirmation of everything that had gone before : the Prince of Wales was seriously out of his tree.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	NOUN VERB VERB NOUN PUNCT ADP PUNCT NOUN VERB VERB ADP NOUN ADP NOUN ADJ VERB VERB ADV PUNCT DET PROPN ADP PROPN VERB ADV ADP ADP ADJ NOUN	▁What ▁was ▁said ▁tongue ▁- ▁in ▁- ▁che ek ▁was ▁received ▁as ▁confirmation ▁of ▁everything ▁that ▁had ▁gone ▁before ▁ : ▁the ▁Prince ▁of ▁Wales ▁was ▁seriously ▁out ▁of ▁his ▁tree .	0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB NOUN PUNCT ADP PUNCT NOUN NOUN VERB VERB ADP NOUN ADP NOUN ADJ VERB VERB ADV PUNCT PUNCT DET PROPN ADP PROPN VERB ADV ADP ADP ADJ NOUN NOUN
The Dohnányi comes off particularly with the Toronto Orchestra revelling in their tongue - in - cheek opening tutti, and Ozolins successfully keeping a straight face in the solo part : an enjoyable alternative to the classic recording by the composer and Sir Adrian Boult ( on EMI and mid - price ).	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET PROPN VERB PART ADV ADP DET PROPN PROPN VERB ADP ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN CCONJ PROPN ADV VERB DET ADJ NOUN ADP DET ADJ NOUN PUNCT DET ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN CCONJ PROPN PROPN PROPN PUNCT ADP PROPN CCONJ ADJ PUNCT NOUN PUNCT	▁The ▁D ohn án y i ▁comes ▁off ▁particularly ▁with ▁the ▁To ron to ▁Or ches tra ▁rev elling ▁in ▁their ▁tongue ▁- ▁in ▁- ▁che ek ▁opening ▁tu tti , ▁and ▁O zo lin s ▁successfully ▁keeping ▁a ▁straight ▁face ▁in ▁the ▁so lo ▁part ▁ : ▁an ▁enjoy able ▁alternative ▁to ▁the ▁classic ▁recording ▁by ▁the ▁com pos er ▁and ▁Sir ▁Adria n ▁Bo ult ▁( ▁on ▁EMI ▁and ▁mid ▁- ▁price ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN VERB PART ADV ADP DET PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB ADP ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN NOUN CCONJ PROPN PROPN PROPN PROPN ADV VERB DET ADJ NOUN ADP DET ADJ ADJ NOUN PUNCT PUNCT DET ADJ ADJ NOUN ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN CCONJ PROPN PROPN PROPN PROPN PROPN PUNCT ADP PROPN CCONJ ADJ PUNCT NOUN PUNCT PUNCT
But this was a great feeling of what we had been used to over the years in watching American movies and, with our tongue in cheek and a bit of a giggle, seeing the adventures of the cavalry arriving, And for the first time in our years of combat I had a glow, a rosy glow, inside me and I knew and was certain for the very first time now we could not be beaten.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	CCONJ DET VERB DET ADJ NOUN ADP NOUN PRON VERB VERB VERB PART ADP DET NOUN ADP VERB ADJ NOUN CCONJ ADP ADJ NOUN ADP NOUN CCONJ DET NOUN ADP DET NOUN VERB DET NOUN ADP DET NOUN VERB CCONJ ADP DET ADJ NOUN ADP ADJ NOUN ADP NOUN PRON VERB DET NOUN DET ADJ NOUN ADP PRON CCONJ PRON VERB CCONJ VERB ADJ ADP DET ADV ADJ NOUN ADV PRON VERB ADV VERB VERB	▁But ▁this ▁was ▁a ▁great ▁feeling ▁of ▁what ▁we ▁had ▁been ▁used ▁to ▁over ▁the ▁years ▁in ▁watching ▁American ▁mo vie s ▁and , ▁with ▁our ▁tongue ▁in ▁che ek ▁and ▁a ▁bit ▁of ▁a ▁g ig gle , ▁seeing ▁the ▁adventure s ▁of ▁the ▁ca val ry ▁arriving , ▁And ▁for ▁the ▁first ▁time ▁in ▁our ▁years ▁of ▁combat ▁I ▁had ▁a ▁g low , ▁a ▁ro sy ▁g low , ▁inside ▁me ▁and ▁I ▁knew ▁and ▁was ▁certain ▁for ▁the ▁very ▁first ▁time ▁now ▁we ▁could ▁not ▁be ▁beat en .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET VERB DET ADJ NOUN ADP NOUN PRON VERB VERB VERB PART ADP DET NOUN ADP VERB ADJ NOUN NOUN NOUN CCONJ CCONJ ADP ADJ NOUN ADP NOUN NOUN CCONJ DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN VERB VERB CCONJ ADP DET ADJ NOUN ADP ADJ NOUN ADP NOUN PRON VERB DET NOUN NOUN NOUN DET ADJ ADJ NOUN NOUN NOUN ADP PRON CCONJ PRON VERB CCONJ VERB ADJ ADP DET ADV ADJ NOUN ADV PRON VERB ADV VERB VERB VERB VERB
Mr Lyons, leader of the MSF technical union, believes — albeit slightly tongue in cheek — that the more exotic menu is fully justified.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	identical	PROPN PROPN NOUN ADP DET PROPN ADJ NOUN VERB PUNCT ADP ADV NOUN ADP NOUN PUNCT ADP DET ADV ADJ NOUN VERB ADV VERB	▁Mr ▁Lyon s , ▁leader ▁of ▁the ▁MSF ▁technical ▁union , ▁believes ▁ — ▁al beit ▁slightly ▁tongue ▁in ▁che ek ▁ — ▁that ▁the ▁more ▁ex otic ▁ menu ▁is ▁fully ▁justified .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN ADP DET PROPN ADJ NOUN NOUN VERB PUNCT PUNCT ADP ADP ADV NOUN ADP NOUN NOUN PUNCT PUNCT ADP DET ADV ADJ ADJ NOUN NOUN VERB ADV VERB VERB
His best writing credits were the sentimental Shopworn Angel ( 1938 ), the romantic comedy - drama Rachel and the Stranger ( 1948 ), and the tongue - in - the - cheek Burt Lancaster swashbuckler The Flame and the Arrow ( 1950 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	combined-other	ADJ ADJ NOUN NOUN VERB DET ADJ PROPN PROPN PUNCT NUM PUNCT DET ADJ NOUN PUNCT NOUN PROPN CCONJ DET PROPN PUNCT NUM PUNCT CCONJ DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN PROPN PROPN NOUN DET PROPN CCONJ DET PROPN PUNCT NUM PUNCT	▁His ▁best ▁writing ▁credits ▁were ▁the ▁sentiment al ▁S hop wo rn ▁Angel ▁( ▁19 38 ▁ ), ▁the ▁ro man tic ▁come dy ▁- ▁drama ▁Ra chel ▁and ▁the ▁Str anger ▁( ▁1948 ▁ ), ▁and ▁the ▁tongue ▁- ▁in ▁- ▁the ▁- ▁che ek ▁ Burt ▁Lan c aster ▁s wash b uck ler ▁The ▁F lam e ▁and ▁the ▁Ar row ▁( ▁1950 ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ NOUN NOUN VERB DET ADJ ADJ PROPN PROPN PROPN PROPN PROPN PUNCT NUM NUM PUNCT PUNCT DET ADJ ADJ ADJ NOUN NOUN PUNCT NOUN PROPN PROPN CCONJ DET PROPN PROPN PUNCT NUM PUNCT PUNCT CCONJ DET NOUN PUNCT ADP PUNCT DET PUNCT NOUN NOUN PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN NOUN NOUN DET PROPN PROPN PROPN CCONJ DET PROPN PROPN PUNCT NUM PUNCT PUNCT
His tongue - in - cheek comment came as he departed from the text of his speech launching a campaign to encourage hotels to adopt environmentally friendly practices to praise the restoration of Warsaw's new Bristol Hotel.	0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADJ NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADP PRON VERB ADP DET NOUN ADP ADJ NOUN VERB DET NOUN PART VERB NOUN PART VERB ADV ADJ NOUN PART VERB DET NOUN ADP PROPN ADJ PROPN PROPN	▁His ▁tongue ▁- ▁in ▁- ▁che ek ▁comment ▁came ▁as ▁he ▁departed ▁from ▁the ▁text ▁of ▁his ▁speech ▁launching ▁a ▁campaign ▁to ▁encourage ▁hotels ▁to ▁adopt ▁environmentally ▁friendly ▁practices ▁to ▁praise ▁the ▁restoration ▁of ▁Warsaw ' s ▁new ▁Bristol ▁Hotel .	0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN VERB ADP PRON VERB ADP DET NOUN ADP ADJ NOUN VERB DET NOUN PART VERB NOUN PART VERB ADV ADJ NOUN PART VERB DET NOUN ADP PROPN PROPN PROPN ADJ PROPN PROPN PROPN
On a lighter note, Maureen Lipman's perceptive view of life and delightful tongue - in - cheek humour brings many a chuckle in When's It Coming Out?	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	ADP DET ADJ NOUN PROPN PROPN ADJ NOUN ADP NOUN CCONJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN VERB ADJ DET NOUN ADP ADV PRON VERB ADV	▁On ▁a ▁light er ▁note , ▁M aure en ▁Lip man ' s ▁p ercept ive ▁view ▁of ▁life ▁and ▁delight ful ▁tongue ▁- ▁in ▁- ▁che ek ▁h umour ▁bring s ▁many ▁a ▁ch uck le ▁in ▁When ' s ▁It ▁Com ing ▁Out ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ ADJ ADJ NOUN ADP NOUN CCONJ ADJ ADJ NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN VERB VERB ADJ DET NOUN NOUN NOUN ADP ADV ADV ADV PRON VERB VERB ADV ADV
Mask, curated by Valerie Brown for Impressions Gallery in York is a computer - developed identikit, a somewhat tongue - in - cheek representation of the average European who, we are told, is androgynous, 31.5 years old, of mixed ethnic origin with no distinguishing marks!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tongue in cheek	figurative	dashes	PROPN VERB ADP PROPN PROPN ADP PROPN PROPN ADP PROPN VERB DET NOUN PUNCT VERB NOUN DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN ADP DET ADJ PROPN NOUN PRON VERB VERB VERB ADJ NUM NOUN ADJ ADP ADJ ADJ NOUN ADP DET VERB NOUN	▁Mas k , ▁cur ated ▁by ▁Valer ie ▁Brown ▁for ▁Im pression s ▁Gall ery ▁in ▁York ▁is ▁a ▁computer ▁- ▁developed ▁ ident iki t , ▁a ▁somewhat ▁tongue ▁- ▁in ▁- ▁che ek ▁representation ▁of ▁the ▁average ▁European ▁who , ▁we ▁are ▁told , ▁is ▁and rog yn ous , ▁31 .5 ▁years ▁old , ▁of ▁mixed ▁ethnic ▁origin ▁with ▁no ▁distinguishing ▁marks !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB ADP PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN ADP PROPN VERB DET NOUN PUNCT VERB NOUN NOUN NOUN NOUN NOUN DET ADV NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP DET ADJ PROPN NOUN NOUN PRON VERB VERB VERB VERB ADJ ADJ ADJ ADJ ADJ NUM NUM NOUN ADJ ADJ ADP ADJ ADJ NOUN ADP DET VERB NOUN NOUN
The lasting image many have of the city is the concrete cows, a tongue - in - cheek parting gift from a local artist.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0	tongue in cheek	figurative	dashes	DET VERB NOUN ADJ VERB ADP DET NOUN VERB DET ADJ NOUN DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN ADP DET ADJ NOUN	▁The ▁lasting ▁image ▁many ▁have ▁of ▁the ▁city ▁is ▁the ▁concrete ▁cows , ▁a ▁tongue ▁- ▁in ▁- ▁che ek ▁part ing ▁gift ▁from ▁a ▁local ▁artist .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0	DET VERB NOUN ADJ VERB ADP DET NOUN VERB DET ADJ NOUN NOUN DET NOUN PUNCT ADP PUNCT NOUN NOUN NOUN NOUN NOUN ADP DET ADJ NOUN NOUN
