So might the decision to let the republics go it alone on economic reform.	0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN	▁So ▁might ▁the ▁decision ▁to ▁let ▁the ▁republics ▁go ▁it ▁alone ▁on ▁economic ▁reform .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	ADV VERB DET NOUN PART VERB DET NOUN VERB PRON ADV ADP ADJ NOUN NOUN
What a difference a day makes : A smiling Di goes it alone ( far left ) ; just 24 hours earlier accompanying her husband	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	ADJ DET NOUN DET NOUN VERB PUNCT DET VERB PROPN VERB PRON ADV PUNCT ADV ADJ PUNCT PUNCT ADV NUM NOUN ADV VERB ADJ NOUN	▁What ▁a ▁difference ▁a ▁day ▁makes ▁ : ▁A ▁s mil ing ▁Di ▁goes ▁it ▁alone ▁( ▁far ▁left ▁ ) ▁ ; ▁just ▁24 ▁hours ▁earlier ▁accompanying ▁her ▁husband	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ DET NOUN DET NOUN VERB PUNCT PUNCT DET VERB VERB VERB PROPN VERB PRON ADV PUNCT ADV ADJ PUNCT PUNCT PUNCT PUNCT ADV NUM NOUN ADV VERB ADJ NOUN
So the domestic political and economic cost of go - it - alone adventurism is one constraint on America's freedom of action overseas.	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	dashes	ADV DET ADJ ADJ CCONJ ADJ NOUN ADP NOUN PUNCT PRON PUNCT ADJ NOUN VERB NUM NOUN ADP PROPN NOUN ADP NOUN ADV	▁So ▁the ▁domestic ▁political ▁and ▁economic ▁cost ▁of ▁go ▁- ▁it ▁- ▁alone ▁advent ur ism ▁is ▁one ▁constraint ▁on ▁America ' s ▁freedom ▁of ▁action ▁overseas .	0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV DET ADJ ADJ CCONJ ADJ NOUN ADP NOUN PUNCT PRON PUNCT ADJ NOUN NOUN NOUN VERB NUM NOUN ADP PROPN PROPN PROPN NOUN ADP NOUN ADV ADV
He prefers acting with other countries to going it alone.	0 0 0 0 0 0 0 1 1 1	go it alone	figurative	inflection	PRON VERB VERB ADP ADJ NOUN ADP VERB PRON ADJ	▁He ▁prefer s ▁acting ▁with ▁other ▁countries ▁to ▁going ▁it ▁alone .	0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB VERB ADP ADJ NOUN ADP VERB PRON ADJ ADJ
My right hon. Friend the Chancellor would be much more constrained in his fiscal and monetary policies if Britain tried to go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADJ ADJ NOUN VERB DET PROPN VERB VERB ADV ADV ADJ ADP ADJ ADJ CCONJ ADJ NOUN ADP PROPN VERB PART VERB PRON ADV	▁My ▁right ▁ hon . ▁Friend ▁the ▁Chancellor ▁would ▁be ▁much ▁more ▁constrain ed ▁in ▁his ▁fiscal ▁and ▁monetary ▁policies ▁if ▁Britain ▁tried ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ ADJ NOUN NOUN NOUN VERB DET PROPN VERB VERB ADV ADV ADJ ADJ ADP ADJ ADJ CCONJ ADJ NOUN ADP PROPN VERB PART VERB PRON ADV ADV
Liberal Democrats fell in between, with 34 p.c. opting to go it alone.	0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADJ PROPN VERB ADV ADP ADP NUM NUM VERB PART VERB PRON ADV	▁Liberal ▁Democra ts ▁fell ▁in ▁between , ▁with ▁34 ▁p . c . ▁opt ing ▁to ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADJ PROPN PROPN VERB ADV ADP ADP ADP NUM NUM NUM NUM NUM VERB VERB PART VERB PRON ADV ADV
Because personnel tends to be low on computer departments ' priority lists, you are very likely to have to go it alone, at least initially.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	go it alone	figurative	identical	ADP NOUN VERB PART VERB ADJ ADP NOUN NOUN PART NOUN NOUN PRON VERB ADV ADJ PART VERB PART VERB PRON ADV ADP ADJ ADV	▁Because ▁personnel ▁tend s ▁to ▁be ▁low ▁on ▁computer ▁departments ▁' ▁priority ▁lists , ▁you ▁are ▁very ▁likely ▁to ▁have ▁to ▁go ▁it ▁alone , ▁at ▁least ▁initially .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	ADP NOUN VERB VERB PART VERB ADJ ADP NOUN NOUN PART NOUN NOUN NOUN PRON VERB ADV ADJ PART VERB PART VERB PRON ADV ADV ADP ADJ ADV ADV
I never had a fear of going it alone, don't get me wrong.	0 0 0 0 0 0 1 1 1 0 0 0 0	go it alone	figurative	inflection	PRON ADV VERB DET NOUN ADP VERB PRON ADV VERB VERB PRON ADJ	▁I ▁never ▁had ▁a ▁fear ▁of ▁going ▁it ▁alone , ▁don ' t ▁get ▁me ▁wrong .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	PRON ADV VERB DET NOUN ADP VERB PRON ADV ADV VERB VERB VERB VERB PRON ADJ ADJ
It can take just as much fortitude to go it alone as it does to keep up a public front.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB VERB ADV ADV ADJ NOUN PART VERB PRON ADV ADP PRON VERB PART VERB PART DET ADJ NOUN	▁It ▁can ▁take ▁just ▁as ▁much ▁for titude ▁to ▁go ▁it ▁alone ▁as ▁it ▁does ▁to ▁keep ▁up ▁a ▁public ▁front .	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV ADV ADJ NOUN NOUN PART VERB PRON ADV ADP PRON VERB PART VERB PART DET ADJ NOUN NOUN
You can find examples all over the world, but one of the best is in my home country, Denmark, where a government - appointed committee of academics recently presented their suggestions for how the country could go it alone and become “ fossil fuel - free ” in 40 years.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	PRON VERB VERB NOUN ADV ADP DET NOUN CCONJ NUM ADP DET ADJ VERB ADP ADJ NOUN NOUN PROPN ADV DET NOUN PUNCT VERB NOUN ADP NOUN ADV VERB ADJ NOUN ADP ADV DET NOUN VERB VERB PRON ADV CCONJ VERB PUNCT ADJ NOUN PUNCT ADJ PUNCT ADP NUM NOUN	▁You ▁can ▁find ▁examples ▁all ▁over ▁the ▁world , ▁but ▁one ▁of ▁the ▁best ▁is ▁in ▁my ▁home ▁country , ▁Denmark , ▁where ▁a ▁government ▁- ▁appointed ▁committee ▁of ▁academic s ▁recently ▁presented ▁their ▁suggestions ▁for ▁how ▁the ▁country ▁could ▁go ▁it ▁alone ▁and ▁become ▁ “ ▁fossil ▁fuel ▁- ▁free ▁ ” ▁in ▁40 ▁years .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB NOUN ADV ADP DET NOUN NOUN CCONJ NUM ADP DET ADJ VERB ADP ADJ NOUN NOUN NOUN PROPN PROPN ADV DET NOUN PUNCT VERB NOUN ADP NOUN NOUN ADV VERB ADJ NOUN ADP ADV DET NOUN VERB VERB PRON ADV CCONJ VERB PUNCT PUNCT ADJ NOUN PUNCT ADJ PUNCT PUNCT ADP NUM NOUN NOUN
THE DREAM of going it alone in business has taken a tumble in the present dodgy financial climate.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	inflection	DET NOUN ADP VERB PRON ADV ADP NOUN VERB VERB DET NOUN ADP DET ADJ ADJ ADJ NOUN	▁THE ▁D RE AM ▁of ▁going ▁it ▁alone ▁in ▁business ▁has ▁taken ▁a ▁tumble ▁in ▁the ▁present ▁do d gy ▁financial ▁climate .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN ADP VERB PRON ADV ADP NOUN VERB VERB DET NOUN ADP DET ADJ ADJ ADJ ADJ ADJ NOUN NOUN
Then followed a speech in her presence hinting that it was time Australia went it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	inflection	ADV VERB DET NOUN ADP ADJ NOUN VERB ADP PRON VERB NOUN PROPN VERB PRON ADJ	▁Then ▁followed ▁a ▁speech ▁in ▁her ▁presence ▁hint ing ▁that ▁it ▁was ▁time ▁Australia ▁went ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV VERB DET NOUN ADP ADJ NOUN VERB VERB ADP PRON VERB NOUN PROPN VERB PRON ADJ ADJ
In any situation there may be unforeseen pitfalls or legal difficulties, and any business contemplating preparing a set of standard terms, or changing an existing set, would be well advised to obtain legal advice rather than go it alone.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	go it alone	figurative	identical	ADP DET NOUN ADV VERB VERB ADJ NOUN CCONJ ADJ NOUN CCONJ DET NOUN VERB VERB DET NOUN ADP ADJ NOUN CCONJ VERB DET VERB NOUN VERB VERB ADV VERB PART VERB ADJ NOUN ADV ADP VERB PRON ADV	▁In ▁any ▁situation ▁there ▁may ▁be ▁unforeseen ▁pit fall s ▁or ▁legal ▁difficulties , ▁and ▁any ▁business ▁contemplat ing ▁preparing ▁a ▁set ▁of ▁standard ▁terms , ▁or ▁changing ▁an ▁existing ▁set , ▁would ▁be ▁well ▁advised ▁to ▁obtain ▁legal ▁advice ▁rather ▁than ▁go ▁it ▁alone .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP DET NOUN ADV VERB VERB ADJ NOUN NOUN NOUN CCONJ ADJ NOUN NOUN CCONJ DET NOUN VERB VERB VERB DET NOUN ADP ADJ NOUN NOUN CCONJ VERB DET VERB NOUN NOUN VERB VERB ADV VERB PART VERB ADJ NOUN ADV ADP VERB PRON ADV ADV
Do not try to go it alone today — everything you do will be enhanced by the company of another.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	go it alone	figurative	identical	VERB ADV VERB PART VERB PRON ADV NOUN PUNCT NOUN PRON VERB VERB VERB VERB ADP DET NOUN ADP DET	▁Do ▁not ▁try ▁to ▁go ▁it ▁alone ▁today ▁ — ▁everything ▁you ▁do ▁will ▁be ▁enhanced ▁by ▁the ▁company ▁of ▁another .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADV VERB PART VERB PRON ADV NOUN PUNCT PUNCT NOUN PRON VERB VERB VERB VERB ADP DET NOUN ADP DET DET
The majority of absent parents er presently are fathers, so I 'm going to ask you given the current er, emphasis on er in, well in in in the media perhaps, rather tha, more than in real life on women going it alone, whether by necessity or indeed by choice.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	go it alone	figurative	inflection	DET NOUN ADP ADJ NOUN INTJ ADV VERB NOUN CCONJ PRON VERB VERB PART VERB PRON VERB DET ADJ INTJ NOUN ADP INTJ ADV ADV ADP ADV ADP DET NOUN ADV ADV NOUN ADJ ADP ADP ADJ NOUN ADP NOUN VERB PRON ADV ADP ADP NOUN CCONJ ADV ADP NOUN	▁The ▁majority ▁of ▁absent ▁parents ▁er ▁presently ▁are ▁fathers , ▁so ▁I ▁' m ▁going ▁to ▁ask ▁you ▁given ▁the ▁current ▁er , ▁emphasis ▁on ▁er ▁in , ▁well ▁in ▁in ▁in ▁the ▁media ▁perhaps , ▁rather ▁tha , ▁more ▁than ▁in ▁real ▁life ▁on ▁women ▁going ▁it ▁alone , ▁whether ▁by ▁necessity ▁or ▁indeed ▁by ▁choice .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0	DET NOUN ADP ADJ NOUN INTJ ADV VERB NOUN NOUN CCONJ PRON VERB VERB VERB PART VERB PRON VERB DET ADJ INTJ INTJ NOUN ADP INTJ ADV ADV ADV ADP ADV ADP DET NOUN ADV ADV ADV NOUN NOUN ADJ ADP ADP ADJ NOUN ADP NOUN VERB PRON ADV ADV ADP ADP NOUN CCONJ ADV ADP NOUN NOUN
