Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN	▁O ught ▁to ▁have ▁seen ▁them ▁walking ▁down ▁North ▁Road .	0 0 0 0 0 0 0 1 0 1 1	VERB VERB PART VERB VERB PRON VERB PART PROPN PROPN PROPN
The car transporter was travelling down the slip road of the A418 to join the A40 when it left the sliproad.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	DET NOUN NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN PART VERB DET PROPN ADV PRON VERB DET ADV	▁The ▁car ▁transport er ▁was ▁travelling ▁down ▁the ▁slip ▁road ▁of ▁the ▁A 4 18 ▁to ▁join ▁the ▁A 40 ▁when ▁it ▁left ▁the ▁slip road .	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN NOUN NOUN PART VERB DET PROPN PROPN ADV PRON VERB DET ADV ADV ADV
David didn't think it was a good idea but I said we couldn't keep going out and using the phone box down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	PROPN VERB VERB PRON VERB DET ADJ NOUN CCONJ PRON VERB PRON VERB VERB VERB PART CCONJ VERB DET NOUN NOUN ADP DET NOUN	▁David ▁did n ' t ▁think ▁it ▁was ▁a ▁good ▁idea ▁but ▁I ▁said ▁we ▁could n ' t ▁keep ▁going ▁out ▁and ▁using ▁the ▁phone ▁box ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN VERB VERB VERB VERB VERB PRON VERB DET ADJ NOUN CCONJ PRON VERB PRON VERB VERB VERB VERB VERB VERB PART CCONJ VERB DET NOUN NOUN ADP DET NOUN NOUN
It would off been o okay if I just been able to pull out and drive down the road	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	PRON VERB PART VERB INTJ INTJ ADP PRON ADV VERB ADJ PART VERB PART CCONJ VERB PART DET NOUN	▁It ▁would ▁off ▁been ▁o ▁o ka y ▁if ▁I ▁just ▁been ▁able ▁to ▁pull ▁out ▁and ▁drive ▁down ▁the ▁road	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	PRON VERB PART VERB INTJ INTJ INTJ INTJ ADP PRON ADV VERB ADJ PART VERB PART CCONJ VERB PART DET NOUN
One can argue that the worst is yet to come – that there will be more inflation and unemployment down the road – and that, when they come, the euro area will collapse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	PRON VERB VERB ADP DET ADJ VERB ADV PART VERB PUNCT ADP ADV VERB VERB ADJ NOUN CCONJ NOUN ADP DET NOUN PUNCT CCONJ DET ADV PRON VERB DET NOUN NOUN VERB VERB	▁One ▁can ▁argue ▁that ▁the ▁worst ▁is ▁yet ▁to ▁come ▁ – ▁that ▁there ▁will ▁be ▁more ▁inflation ▁and ▁unemployment ▁down ▁the ▁road ▁ – ▁and ▁that , ▁when ▁they ▁come , ▁the ▁euro ▁area ▁will ▁collapse .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET ADJ VERB ADV PART VERB PUNCT PUNCT ADP ADV VERB VERB ADJ NOUN CCONJ NOUN ADP DET NOUN PUNCT PUNCT CCONJ DET DET ADV PRON VERB VERB DET NOUN NOUN VERB VERB VERB
Cos, I say the car was down the road.	0 0 0 0 0 0 1 0 1	down the road	literal	identical	NOUN PRON VERB DET NOUN VERB ADP DET NOUN	▁Co s , ▁I ▁say ▁the ▁car ▁was ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN NOUN PRON VERB DET NOUN VERB ADP DET NOUN NOUN
MICHAEL HESELTINE yesterday eclipsed the conference with a sideshow at the Grand Theatre, a couple of hundred yards down the road from where the full conference was taking place.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	down the road	literal	identical	PROPN PROPN NOUN VERB DET NOUN ADP DET NOUN ADP DET PROPN PROPN DET NOUN ADP NUM NOUN ADP DET NOUN ADP ADV DET ADJ NOUN VERB VERB NOUN	▁MI CH AEL ▁H ES EL TINE ▁yesterday ▁ec lip s ed ▁the ▁conference ▁with ▁a ▁sides how ▁at ▁the ▁Grand ▁The a tre , ▁a ▁couple ▁of ▁hundred ▁yards ▁down ▁the ▁road ▁from ▁where ▁the ▁full ▁conference ▁was ▁taking ▁place .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB VERB VERB DET NOUN ADP DET NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN DET NOUN ADP NUM NOUN ADP DET NOUN ADP ADV DET ADJ NOUN VERB VERB NOUN NOUN
There's a funeral procession going down the road with hundreds of people following the hearse.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	down the road	literal	identical	ADV DET ADJ NOUN VERB ADP DET NOUN ADP NOUN ADP NOUN VERB DET NOUN	▁There ' s ▁a ▁funeral ▁process ion ▁going ▁down ▁the ▁road ▁with ▁hundreds ▁of ▁people ▁following ▁the ▁hear se .	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADV ADV ADV DET ADJ NOUN NOUN VERB ADP DET NOUN ADP NOUN ADP NOUN VERB DET NOUN NOUN NOUN
That's way down the road.	0 0 1 0 1	down the road	literal	identical	DET NOUN ADP DET NOUN	▁That ' s ▁way ▁down ▁the ▁road .	0 0 0 0 1 0 1 1	DET DET DET NOUN ADP DET NOUN NOUN
At one point Andy says : ' I 'd rather walk down the Falls Road with a Union Jack wrapped round me than I would get out here. '	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADP NUM NOUN PROPN VERB PUNCT PUNCT PRON VERB ADV VERB ADP DET PROPN PROPN ADP DET PROPN PROPN VERB VERB PRON ADP PRON VERB VERB PART ADV PUNCT	▁At ▁one ▁point ▁And y ▁says ▁ : ▁' ▁I ▁' d ▁rather ▁walk ▁down ▁the ▁F all s ▁Road ▁with ▁a ▁Union ▁Jack ▁wrapped ▁round ▁me ▁than ▁I ▁would ▁get ▁out ▁here . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM NOUN PROPN PROPN VERB PUNCT PUNCT PUNCT PRON VERB VERB ADV VERB ADP DET PROPN PROPN PROPN PROPN ADP DET PROPN PROPN VERB VERB PRON ADP PRON VERB VERB PART ADV ADV PUNCT
Up and down the City Road,	0 0 1 0 0 1	down the road	literal	combined-other	ADP CCONJ ADP DET PROPN PROPN	▁Up ▁and ▁down ▁the ▁City ▁Road ,	0 0 1 0 0 1 1	ADP CCONJ ADP DET PROPN PROPN PROPN
He or she may even be the local greengrocer who hears a band rehearsing down the road in the village hall.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	down the road	literal	identical	PRON CCONJ PRON VERB ADV VERB DET ADJ NOUN NOUN VERB DET NOUN VERB ADP DET NOUN ADP DET NOUN NOUN	▁He ▁or ▁she ▁may ▁even ▁be ▁the ▁local ▁green g ro cer ▁who ▁hear s ▁a ▁band ▁re he ars ing ▁down ▁the ▁road ▁in ▁the ▁village ▁hall .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PRON CCONJ PRON VERB ADV VERB DET ADJ NOUN NOUN NOUN NOUN NOUN VERB VERB DET NOUN VERB VERB VERB VERB ADP DET NOUN ADP DET NOUN NOUN NOUN
And the fear there is the same fear as walking down the road in, at night wondering if you 're going to be raped!	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	CCONJ DET NOUN ADV VERB DET ADJ NOUN ADP VERB PART DET NOUN ADV ADP NOUN VERB ADP PRON VERB VERB PART VERB VERB	▁And ▁the ▁fear ▁there ▁is ▁the ▁same ▁fear ▁as ▁walking ▁down ▁the ▁road ▁in , ▁at ▁night ▁wonder ing ▁if ▁you ▁' re ▁going ▁to ▁be ▁rape d !	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET NOUN ADV VERB DET ADJ NOUN ADP VERB PART DET NOUN ADV ADV ADP NOUN VERB VERB ADP PRON VERB VERB VERB PART VERB VERB VERB VERB
They walked together down the King's Road, went into Woolworths, and were dazzled.	0 0 0 1 0 0 1 0 0 0 0 0 0	down the road	literal	combined-other	PRON VERB ADV ADP DET PROPN PROPN VERB ADP PROPN CCONJ VERB VERB	▁They ▁walked ▁together ▁down ▁the ▁King ' s ▁Road , ▁went ▁into ▁Wool worth s , ▁and ▁were ▁da zz led .	0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADP DET PROPN PROPN PROPN PROPN PROPN VERB ADP PROPN PROPN PROPN PROPN CCONJ VERB VERB VERB VERB VERB
Our first gig was all of one hundred yards down the road.	0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADJ ADJ NOUN VERB DET ADP NUM NUM NOUN ADP DET NOUN	▁Our ▁first ▁g ig ▁was ▁all ▁of ▁one ▁hundred ▁yards ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADJ ADJ NOUN NOUN VERB DET ADP NUM NUM NOUN ADP DET NOUN NOUN
Attractive family run hotel, facing seafront, the Aquarium and Palace Pier, historic Royal Pavilion and famous Lanes are just down the road, Brighton Centre nearby.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	literal	identical	ADJ NOUN VERB NOUN VERB NOUN DET PROPN CCONJ PROPN PROPN ADJ PROPN PROPN CCONJ ADJ PROPN VERB ADV ADP DET NOUN PROPN PROPN ADV	▁At tract ive ▁family ▁run ▁hotel , ▁facing ▁sea front , ▁the ▁A quar ium ▁and ▁Pal ace ▁Pier , ▁historic ▁Royal ▁Pa vil ion ▁and ▁famous ▁Lane s ▁are ▁just ▁down ▁the ▁road , ▁B right on ▁Centre ▁nearby .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	ADJ ADJ ADJ NOUN VERB NOUN NOUN VERB NOUN NOUN NOUN DET PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN ADJ PROPN PROPN PROPN PROPN CCONJ ADJ PROPN PROPN VERB ADV ADP DET NOUN NOUN PROPN PROPN PROPN PROPN ADV ADV
Now if they didn't pay us they 'd only pay the Paki down the road.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	dashes	ADV ADP PRON VERB VERB PRON PRON VERB ADV VERB DET PROPN ADP DET NOUN	▁Now ▁if ▁they ▁did n ' t ▁pay ▁us ▁they ▁' d ▁only ▁pay ▁the ▁P aki ▁down ▁the ▁road . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV ADP PRON VERB VERB VERB VERB VERB PRON PRON VERB VERB ADV VERB DET PROPN PROPN ADP DET NOUN NOUN NOUN
Instead of going to the bar, he went out for a walk down the road.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADV ADP VERB ADP DET NOUN PRON VERB PART ADP DET NOUN ADP DET NOUN	▁Instead ▁of ▁going ▁to ▁the ▁bar , ▁he ▁went ▁out ▁for ▁a ▁walk ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV ADP VERB ADP DET NOUN NOUN PRON VERB PART ADP DET NOUN ADP DET NOUN NOUN
One was the philosophic opposition of the Right - to - Life groups in this country ; and they said that this was a foot in the door, the first step down the road towards active and involuntary euthanasia, and we had that argument to counter and that group to deal with, and even after countering the argument, we still had the group to deal with.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	NUM VERB DET ADJ NOUN ADP DET PROPN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN PUNCT CCONJ PRON VERB ADP DET VERB DET NOUN ADP DET NOUN DET ADJ NOUN ADP DET NOUN ADP ADJ CCONJ ADJ NOUN CCONJ PRON VERB DET NOUN PART VERB CCONJ DET NOUN PART VERB ADP CCONJ ADV ADP VERB DET NOUN PRON ADV VERB DET NOUN PART VERB ADP	▁One ▁was ▁the ▁p hil os oph ic ▁opposition ▁of ▁the ▁Right ▁- ▁to ▁- ▁Life ▁groups ▁in ▁this ▁country ▁ ; ▁and ▁they ▁said ▁that ▁this ▁was ▁a ▁foot ▁in ▁the ▁door , ▁the ▁first ▁step ▁down ▁the ▁road ▁towards ▁active ▁and ▁in voluntary ▁eu than a sia , ▁and ▁we ▁had ▁that ▁argument ▁to ▁counter ▁and ▁that ▁group ▁to ▁deal ▁with , ▁and ▁even ▁after ▁counter ing ▁the ▁argument , ▁we ▁still ▁had ▁the ▁group ▁to ▁deal ▁with .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM VERB DET ADJ ADJ ADJ ADJ ADJ NOUN ADP DET PROPN PUNCT ADP PUNCT NOUN NOUN ADP DET NOUN PUNCT PUNCT CCONJ PRON VERB ADP DET VERB DET NOUN ADP DET NOUN NOUN DET ADJ NOUN ADP DET NOUN ADP ADJ CCONJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN CCONJ PRON VERB DET NOUN PART VERB CCONJ DET NOUN PART VERB ADP ADP CCONJ ADV ADP VERB VERB DET NOUN NOUN PRON ADV VERB DET NOUN PART VERB ADP ADP
And he says, ‘ Well actually I know someone down the road who's happy to take 10 million on’, And then you 're in business.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	CCONJ PRON VERB PUNCT INTJ ADV PRON VERB NOUN ADP DET NOUN NOUN ADJ PART VERB NUM NUM NOUN CCONJ ADV PRON VERB ADP NOUN	▁And ▁he ▁says , ▁ ‘ ▁Well ▁actually ▁I ▁know ▁someone ▁down ▁the ▁road ▁who ' s ▁happy ▁to ▁take ▁10 ▁million ▁on ’ , ▁And ▁then ▁you ▁' re ▁in ▁business .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB PUNCT PUNCT INTJ ADV PRON VERB NOUN ADP DET NOUN NOUN NOUN NOUN ADJ PART VERB NUM NUM NOUN NOUN NOUN CCONJ ADV PRON VERB VERB ADP NOUN NOUN
And for those who like the idea of even more sights and nightlife readily to hand, the wonderful city of Vienna is just down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	CCONJ ADP DET NOUN VERB DET NOUN ADP ADV ADJ NOUN CCONJ NOUN ADV PART VERB DET ADJ NOUN ADP PROPN VERB ADV ADP DET NOUN	▁And ▁for ▁those ▁who ▁like ▁the ▁idea ▁of ▁even ▁more ▁sight s ▁and ▁night life ▁readily ▁to ▁hand , ▁the ▁wonderful ▁city ▁of ▁Vienna ▁is ▁just ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ ADP DET NOUN VERB DET NOUN ADP ADV ADJ NOUN NOUN CCONJ NOUN NOUN ADV PART VERB VERB DET ADJ NOUN ADP PROPN VERB ADV ADP DET NOUN NOUN
Integris will integrate these new SNA products with its UniRix CICS and market Brixton's Brx3270 and BrxSNA / IP router plus other Brixton products later on down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	NOUN VERB VERB DET ADJ PROPN NOUN ADP ADJ PROPN PROPN CCONJ NOUN PROPN PROPN CCONJ PROPN SYM PROPN NOUN CCONJ ADJ PROPN NOUN ADV ADP ADP DET NOUN	▁In te gris ▁will ▁integrate ▁these ▁new ▁S NA ▁products ▁with ▁its ▁Uni R ix ▁CI CS ▁and ▁market ▁Brix ton ' s ▁Br x 32 70 ▁and ▁Br x S NA ▁/ ▁IP ▁route r ▁plus ▁other ▁Brix ton ▁products ▁later ▁on ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN NOUN NOUN VERB VERB DET ADJ PROPN PROPN NOUN ADP ADJ PROPN PROPN PROPN PROPN PROPN CCONJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN SYM PROPN NOUN NOUN CCONJ ADJ PROPN PROPN NOUN ADV ADP ADP DET NOUN NOUN
A few years down the road and along come the fitness men with their clipboards and stop - watches.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	figurative	identical	DET ADJ NOUN ADP DET NOUN CCONJ ADP VERB DET NOUN NOUN ADP ADJ NOUN CCONJ VERB PUNCT NOUN	▁A ▁few ▁years ▁down ▁the ▁road ▁and ▁along ▁come ▁the ▁fitness ▁men ▁with ▁their ▁c lip board s ▁and ▁stop ▁- ▁watches .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP DET NOUN CCONJ ADP VERB DET NOUN NOUN ADP ADJ NOUN NOUN NOUN NOUN CCONJ VERB PUNCT NOUN NOUN
The township got electric light a few years ago, yet for as long as anyone could remember power - station cooling stacks had blasted out steam day and night ; the power went to white Johannesburg a few miles down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	DET NOUN VERB ADJ NOUN DET ADJ NOUN ADV CCONJ ADP ADV ADV ADP NOUN VERB VERB NOUN PUNCT NOUN VERB NOUN VERB VERB PART NOUN NOUN CCONJ NOUN PUNCT DET NOUN VERB ADP ADJ PROPN DET ADJ NOUN ADP DET NOUN	▁The ▁town ship ▁got ▁electric ▁light ▁a ▁few ▁years ▁ago , ▁yet ▁for ▁as ▁long ▁as ▁anyone ▁could ▁remember ▁power ▁- ▁station ▁cooling ▁stack s ▁had ▁blast ed ▁out ▁steam ▁day ▁and ▁night ▁ ; ▁the ▁power ▁went ▁to ▁white ▁Johan ne sburg ▁a ▁few ▁miles ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN NOUN VERB ADJ NOUN DET ADJ NOUN ADV ADV CCONJ ADP ADV ADV ADP NOUN VERB VERB NOUN PUNCT NOUN VERB NOUN NOUN VERB VERB VERB PART NOUN NOUN CCONJ NOUN PUNCT PUNCT DET NOUN VERB ADP ADJ PROPN PROPN PROPN DET ADJ NOUN ADP DET NOUN NOUN
Lights were already showing back down the road along which they had come, and in the distance there was the sound of shots being fired.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	NOUN VERB ADV VERB ADV ADP DET NOUN ADP ADJ PRON VERB VERB CCONJ ADP DET NOUN ADV VERB DET NOUN ADP NOUN VERB VERB	▁Light s ▁were ▁already ▁showing ▁back ▁down ▁the ▁road ▁along ▁which ▁they ▁had ▁come , ▁and ▁in ▁the ▁distance ▁there ▁was ▁the ▁sound ▁of ▁shot s ▁being ▁fired .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADV VERB ADV ADP DET NOUN ADP ADJ PRON VERB VERB VERB CCONJ ADP DET NOUN ADV VERB DET NOUN ADP NOUN NOUN VERB VERB VERB
The girls went inside and the tram for Anderston thundered down the road into the 20th century.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	down the road	literal	identical	DET NOUN VERB ADV CCONJ DET NOUN ADP PROPN VERB ADP DET NOUN ADP DET ADJ NOUN	▁The ▁girls ▁went ▁inside ▁and ▁the ▁tram ▁for ▁Anders ton ▁th under ed ▁down ▁the ▁road ▁into ▁the ▁20 th ▁century .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	DET NOUN VERB ADV CCONJ DET NOUN ADP PROPN PROPN VERB VERB VERB ADP DET NOUN ADP DET ADJ ADJ NOUN NOUN
Aldershot .............. 0 Sheffield Wednesday .... 8 ( Wednesday win 8 - 0 on agg ) RON ATKINSON 'S blue and white army marched down Ordinance Road, past the Cannon pub and fired the Shots out of the Littlewoods Cup with a devastating display of firepower which brought Steve Whitton four goals and Dalian Atkinson three.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	NOUN PUNCT NUM PROPN PROPN PUNCT NUM PUNCT PROPN VERB NUM SYM NUM ADP NOUN PUNCT PROPN PROPN PART ADJ CCONJ ADJ NOUN VERB ADP PROPN PROPN ADP DET PROPN NOUN CCONJ VERB DET NOUN ADP ADP DET PROPN PROPN ADP DET ADJ NOUN ADP NOUN ADJ VERB PROPN PROPN NUM NOUN CCONJ PROPN PROPN NUM	▁A lder s hot ▁ . ............. ▁0 ▁She f field ▁Wednesday ▁... . ▁8 ▁( ▁Wednesday ▁win ▁8 ▁- ▁0 ▁on ▁a gg ▁ ) ▁ RON ▁AT K INSON ▁' S ▁blue ▁and ▁white ▁army ▁march ed ▁down ▁Ordinance ▁Road , ▁past ▁the ▁Can non ▁pub ▁and ▁fired ▁the ▁Sho ts ▁out ▁of ▁the ▁Little wood s ▁C up ▁with ▁a ▁devastat ing ▁display ▁of ▁fire power ▁which ▁brought ▁Ste ve ▁Whit ton ▁four ▁goals ▁and ▁Dal ian ▁At kin son ▁three .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN PUNCT PUNCT PUNCT NUM PROPN PROPN PROPN PROPN PUNCT PUNCT NUM PUNCT PROPN VERB NUM SYM NUM ADP NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PART PART ADJ CCONJ ADJ NOUN VERB VERB ADP PROPN PROPN PROPN ADP DET PROPN PROPN NOUN CCONJ VERB DET NOUN NOUN ADP ADP DET PROPN PROPN PROPN PROPN PROPN ADP DET ADJ ADJ NOUN ADP NOUN NOUN ADJ VERB PROPN PROPN PROPN PROPN NUM NOUN CCONJ PROPN PROPN PROPN PROPN PROPN NUM NUM
Then I heard the front door close and the sound of his car going down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADV PRON VERB DET ADJ NOUN ADJ CCONJ DET NOUN ADP ADJ NOUN VERB ADP DET NOUN	▁Then ▁I ▁heard ▁the ▁front ▁door ▁close ▁and ▁the ▁sound ▁of ▁his ▁car ▁going ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADV PRON VERB DET ADJ NOUN ADJ CCONJ DET NOUN ADP ADJ NOUN VERB ADP DET NOUN NOUN
He practised just down the road from her theatre, above an occult shop in Monmouth Street.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB ADV ADP DET NOUN ADP ADJ NOUN ADP DET ADJ NOUN ADP PROPN PROPN	▁He ▁practised ▁just ▁down ▁the ▁road ▁from ▁her ▁theatre , ▁above ▁an ▁occu lt ▁shop ▁in ▁Mon mouth ▁Street .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV ADP DET NOUN ADP ADJ NOUN NOUN ADP DET ADJ ADJ NOUN ADP PROPN PROPN PROPN PROPN
The software is expected to be ported to other microprocessor architectures like the Sparc RISC further down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	figurative	identical	DET NOUN VERB VERB PART VERB VERB ADP ADJ NOUN NOUN ADP DET PROPN PROPN ADV ADP DET NOUN	▁The ▁software ▁is ▁expected ▁to ▁be ▁port ed ▁to ▁other ▁microprocessor ▁architecture s ▁like ▁the ▁Spa rc ▁RIS C ▁further ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN VERB VERB PART VERB VERB VERB ADP ADJ NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN ADV ADP DET NOUN NOUN
Then he drove the taxi fast down the road.	0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADV PRON VERB DET NOUN ADV ADP DET NOUN	▁Then ▁he ▁ dro ve ▁the ▁tax i ▁fast ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 1 0 1 1	ADV PRON VERB VERB VERB DET NOUN NOUN ADV ADP DET NOUN NOUN
